Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.15337,0.19172,0.99693,1.18865,23.69632,23.81135,26.99387,
2,0,0,0,0,[0],0.00000,0.00000,0.02509,0.05019,0.07528,0.22585,0.90339,1.32999,1.30489,21.78168,21.45546,21.73149,
3,0,0,0,0,[0],52.55591,47.44409,44.40895,36.74121,29.23323,25.23962,23.16294,13.41853,4.63259,51.43770,32.26837,36.26198,
4,0,0,0,0,[0],17.98507,16.64179,13.80597,15.44776,18.54478,16.82836,9.17910,6.56716,2.57463,36.60448,31.34328,28.20896,
5,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.35537,0.78181,1.27932,1.35039,22.31699,22.31699,21.96162,
6,4,1,0,3,"[[412.4049,334.8521,1,242.1225,nc],[416.7638,375.8458,1,279.0947,nc],[423.8645,377.0149,1,387.3507,organelle_near],[406.2424,371.0689,1,258.4505,nc],]",37.44795,34.99878,34.19055,35.56209,33.57825,25.71639,15.52780,12.14793,7.10262,46.68136,39.79917,39.99510,
7,4,0,0,4,"[[488.5109,356.1579,1,300.3846,nc],[499.9122,350.449,1,313.7307,nc],[483.0803,359.8971,2,310.9666,nc],[463.7214,365.6642,2,229.0366,nc],]",1.06203,0.50688,0.19310,0.00000,0.00000,0.12069,0.53102,1.13444,1.15858,21.48202,24.71639,24.57157,
8,0,0,0,0,[0],8.47420,8.31851,8.74110,7.40658,7.89591,6.04982,4.11477,2.51335,2.49110,26.37900,27.31317,22.99822,
9,6,0,0,6,"[[1288.0413,368.8131,1,300.11,nc],[1283.139,397.5663,2,275.9155,nc],[1270.3057,383.5049,2,396.2919,nc],[1274.4121,380.4941,2,321.4139,nc],[1277.6654,392.3431,2,290.865,nc],[1265.4315,400.8534,2,303.4609,nc],]",0.00000,0.21220,0.18568,0.26525,0.37135,0.26525,0.29178,1.14058,0.76923,22.99735,24.16446,24.61538,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.07345,0.25707,0.58759,1.13845,1.21190,24.01763,22.10797,21.11642,
11,11,0,0,11,"[[1715.799,459.191,1,296.6391,nc],[1709.006,441.9004,1,288.5384,nc],[1732.965,428.0822,2,311.2794,nc],[1713.0287,448.1129,2,397.2578,nc],[1736.6511,434.7028,3,269.0925,nc],[1704.9516,434.5222,3,474.0064,nc],[1701.1013,433.3412,3,545.202,nc],[1693.0077,457.5932,3,282.1012,nc],[1729.6891,442.8098,3,273.0129,nc],[1738.4184,449.7696,3,287.4777,nc],[1711.6057,414.2067,3,284.289,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.12399,0.49597,0.89895,0.96094,21.54371,20.79975,20.64476,
12,0,0,0,0,[0],0.26330,0.26330,0.73723,0.10532,0.00000,0.10532,0.15798,0.73723,0.52659,22.95945,22.69616,18.22012,
13,1,0,0,1,"[[1346.5655,420.8559,2,369.6182,nc],]",0.08718,0.00000,0.00000,0.00000,0.00000,0.08718,0.34874,1.30776,0.52310,21.44725,21.36007,21.27289,
14,3,0,2,1,"[[1036.2125,431.0412,2,376.0745,organelle_far],[1027.2105,455.6309,2,364.4135,nc],[1032.3597,460.7053,2,503.756,organelle_far],]",44.19376,47.44526,52.68746,54.94360,51.89117,38.08892,28.59987,22.22960,13.47047,46.25083,47.04711,41.53948,
15,5,0,0,5,"[[302.1238,432.3279,2,245.506,nc],[318.4689,442.2286,2,345.7044,nc],[322.6596,480.0171,3,246.5917,nc],[306.867,456.5718,3,302.6812,nc],[335.271,477.0756,3,259.6192,nc],]",0.00000,0.22051,0.00000,0.07350,0.00000,0.03675,0.25726,0.73502,1.13929,20.72767,21.90371,19.80889,
16,0,0,0,0,[0],6.20155,5.26024,4.26357,1.71650,2.04873,0.94131,1.43965,1.82724,0.88594,22.92359,20.43189,21.81617,
17,12,0,11,1,"[[1053.8618,468.4671,1,342.1637,organelle_far],[1054.1564,475.3662,2,330.149,organelle_far],[1072.6358,489.1413,2,465.8763,organelle_far],[1115.6937,470.8136,2,342.7276,organelle_far],[1080.043,506.593,2,296.1314,organelle_far],[1117.0416,478.2957,3,405.2435,organelle_far],[1073.7611,466.1178,3,277.0301,organelle_far],[1088.011,511.9038,3,432.5158,organelle_far],[1102.2339,468.9488,3,339.4945,organelle_far],[1064.9969,479.1663,3,256.6576,organelle_far],[1098.4697,494.3058,3,479.3305,organelle_far],[1102.5466,505.654,3,305.3982,nc],]",35.88464,42.29063,47.00499,55.07488,57.12701,51.96894,42.70660,35.05269,18.85746,61.25901,56.90516,51.52524,
18,0,0,0,0,[0],0.00000,0.00000,0.02807,0.00000,0.00000,0.16844,0.36496,1.40371,1.12296,23.04885,22.71196,19.37114,
19,1,0,0,1,"[[1387.1083,470.455,1,334.0547,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.06942,0.55536,0.76362,0.86775,23.18639,21.93683,21.52031,
20,1,0,0,1,"[[1584.8475,501.1046,1,358.8373,nc],]",2.22870,1.66632,1.41637,1.62466,1.83295,0.93730,1.33306,1.18725,1.54135,24.39075,25.80712,22.97438,
21,4,0,0,4,"[[1776.9379,480.2063,2,305.4358,nc],[1767.7926,480.8339,2,573.2422,nc],[1767.8976,469.5247,4,324.5522,nc],[1766.2957,474.3078,4,297.6014,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13928,0.97493,0.00000,20.19499,17.54875,22.14485,
22,0,0,0,0,[0],0.03625,0.03625,0.00000,0.00000,0.00000,0.07249,0.28996,0.94237,1.12360,23.12432,22.54440,21.42080,
23,0,0,0,0,[0],0.28269,0.03534,0.00000,0.00000,0.10601,0.21201,0.38869,1.13074,0.77739,24.38163,21.09541,22.29682,
24,0,0,0,0,[0],0.11820,0.11820,0.08865,0.00000,0.00000,0.17730,0.65012,0.82742,0.41371,23.43381,20.92199,20.95154,
25,9,0,0,9,"[[1382.8746,525.6876,1,361.1446,nc],[1393.9925,535.9253,1,310.8024,nc],[1442.044,525.8479,2,381.5184,nc],[1399.6323,510.6473,3,271.8763,nc],[1404.6523,554.9666,3,258.7501,nc],[1410.3029,521.982,3,233.2068,nc],[1428.4016,509.6533,3,261.4606,nc],[1424.9154,542.3361,4,281.6052,nc],[1423.15,528.1187,4,567.2908,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.20020,0.33367,0.70070,1.06773,22.45579,23.02302,23.79046,
26,1,0,1,0,"[[1304.1448,538.0644,1,555.3707,organelle_far],]",19.35929,17.14996,16.87379,13.86357,12.97984,8.97542,3.47970,2.65120,3.14830,31.28970,28.44518,26.92626,
27,0,0,0,0,[0],17.38449,18.08927,22.70948,23.02271,15.34847,10.72827,6.10807,4.69851,1.80110,34.84730,31.16680,20.67345,
28,1,0,0,1,"[[1393.3455,568.1281,1,295.8775,nc],]",0.21986,0.00000,0.03664,0.00000,0.03664,0.25650,0.36643,1.06266,0.80616,23.15867,24.40454,24.44119,
29,0,0,0,0,[0],0.00000,0.00000,0.03254,0.00000,0.00000,0.03254,0.65083,0.84608,0.87862,19.32965,22.19330,20.79401,
30,0,0,0,0,[0],0.00000,0.05706,0.14265,0.05706,0.05706,0.22825,0.68474,0.91298,0.97004,23.42368,23.68046,21.45506,
31,0,0,0,0,[0],0.03702,0.00000,0.03702,0.03702,0.00000,0.18512,0.48130,0.74047,0.48130,22.21399,18.77083,17.10478,
32,0,0,0,0,[0],15.31996,16.43167,18.16703,18.54664,12.96095,9.51735,5.99241,4.06725,2.22343,33.35141,31.15510,26.81670,
33,0,0,0,0,[0],0.00000,0.00000,0.00000,0.09470,0.18939,0.56818,1.04167,0.75758,1.79924,21.11742,18.93939,24.62121,
34,0,0,0,0,[0],0.11154,0.05577,0.00000,0.00000,0.00000,0.39041,0.22309,0.66927,1.00390,22.36475,22.08589,24.09370,
35,3,0,0,3,"[[1578.1725,673.1989,2,302.0183,nc],[1578.3072,692.5588,3,222.7181,nc],[1603.092,690.6454,3,243.4667,nc],]",0.00000,0.03971,0.00000,0.03971,0.07943,0.11914,0.51628,0.35743,0.31771,15.40905,17.63304,15.44877,
36,1,0,0,1,"[[535.6992,710.0457,1,273.6356,nc],]",0.06489,0.12979,0.00000,0.00000,0.03245,0.06489,0.58404,0.84361,0.68138,26.02206,22.74497,22.25827,
37,0,0,0,0,[0],0.00000,0.03452,0.03452,0.06904,0.62133,0.79392,0.20711,0.51778,0.44874,16.94857,16.94857,17.39731,
38,0,0,0,0,[0],0.00000,0.00000,0.13445,0.00000,0.03361,0.06723,0.50420,0.70588,0.84034,23.15966,25.37815,26.38655,
39,1,0,0,1,"[[849.3099,740.4035,2,359.412,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.12863,0.54026,0.95189,1.36352,26.21559,23.64291,25.31515,
40,0,0,0,0,[0],0.15968,0.07984,0.03992,0.00000,0.03992,0.35928,0.63872,0.55888,0.47904,14.89022,15.60878,21.99601,
41,0,0,0,0,[0],0.12199,0.03050,0.00000,0.00000,0.00000,0.09149,0.48795,0.76243,1.31138,21.80543,24.91613,26.13602,
42,0,0,0,0,[0],0.04975,0.04975,0.00000,0.00000,0.00000,0.24876,0.34826,1.19403,0.64677,20.29851,23.48259,23.73134,
43,0,0,0,0,[0],0.02008,0.00000,0.00000,0.02008,0.00000,0.08031,0.48183,0.70267,1.28488,26.21963,23.79040,25.01506,
44,0,0,0,0,[0],30.35288,32.18360,33.37755,33.00610,27.80578,21.57071,13.74370,11.27620,7.03104,42.21279,38.73707,36.77368,
45,1,0,0,1,"[[1200.8038,838.8332,1,475.9417,nc],]",0.06570,0.06570,0.09855,0.00000,0.13141,0.06570,0.26281,0.55848,0.82129,22.86465,18.85677,19.41524,
46,1,0,0,1,"[[878.5003,844.9864,1,309.9546,nc],]",0.85737,1.01325,0.85737,0.62354,0.50663,0.42868,1.24708,1.28605,1.09119,25.33125,25.33125,26.96804,
47,0,0,0,0,[0],0.18490,0.27735,0.12327,0.21572,0.12327,0.52388,1.51002,1.75655,2.28043,23.20493,26.00924,25.48536,
