Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03241,0.00000,0.00000,0.00000,0.00000,0.00000,
3,0,0,0,0,[0],6.25844,7.54165,6.73120,6.73120,7.45160,6.50608,7.81180,7.85682,7.60919,5.29041,4.34489,3.06168,
4,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.02366,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5,0,0,0,0,[0],0.00000,0.00000,0.42735,0.54945,0.00000,0.00000,0.00000,0.00000,0.00000,0.06105,0.00000,0.06105,
6,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,32,10,14,8,"[[1315.1729,466.532,2,339.3091,organelle_far],[1289.8058,491.859,2,367.1973,organelle_far],[1269.3102,513.0041,2,398.0524,organelle_near],[1259.7869,494.5125,3,645.2545,organelle_near],[1286.1293,489.6373,3,583.1749,organelle_near],[1303.0965,533.1225,3,407.6719,organelle_far],[1264.099,507.1609,3,489.4886,organelle_near],[1263.5871,483.0739,3,423.2184,organelle_near],[1326.1746,505.2786,3,330.3947,nc],[1300.6086,509.3862,3,230.5651,organelle_far],[1256.2074,505.6573,4,337.9087,organelle_far],[1303.4211,460.6227,4,337.3671,organelle_far],[1277.6092,514.7148,4,294.447,nc],[1291.4385,535.0924,4,287.2566,nc],[1263.1892,504.1213,5,541.3973,organelle_near],[1267.2429,477.6731,5,577.2241,organelle_near],[1329.1629,513.6361,5,284.2287,organelle_far],[1272.9665,471.3179,5,603.4749,organelle_far],[1312.487,531.3413,5,235.289,nc],[1274.7382,528.0307,5,341.246,nc],[1284.054,480.2304,6,562.4548,organelle_near],[1259.3823,514.9024,6,235.9092,nc],[1282.0119,502.2452,6,300.7133,organelle_near],[1326.961,505.1624,8,461.7867,organelle_far],[1270.6519,500.2142,8,672.6041,organelle_near],[1315.6378,525.0692,8,381.7128,organelle_far],[1275.3478,500.3583,8,522.2176,nc],[1323.0231,511.0459,8,326.3316,organelle_far],[1282.8106,462.2858,9,413.6259,organelle_far],[1298.5595,485.0422,9,270.9291,nc],[1298.9922,460.3435,9,313.4151,organelle_far],[1261.2746,498.4038,9,468.981,organelle_far],]",26.13139,28.01095,25.98540,24.65328,22.84672,19.16058,17.13504,18.32117,16.45985,16.42336,18.30292,15.80292,
9,0,0,0,0,[0],25.17296,28.57903,31.02714,32.09154,36.34912,35.01863,35.49761,36.29590,35.17829,29.05801,24.16179,19.90420,
10,46,0,36,10,"[[621.4689,540.7675,2,388.0375,organelle_far],[652.2469,503.8737,2,1287.45,organelle_far],[661.0364,513.4809,2,495.3378,organelle_far],[619.9358,517.8261,2,336.9882,organelle_far],[629.9849,519.4166,3,343.4443,nc],[646.7852,482.0986,3,517.7015,organelle_far],[663.085,527.0287,3,348.2543,organelle_far],[627.7874,556.1419,3,428.8619,organelle_far],[642.4572,494.8017,3,391.5481,nc],[623.2189,492.2869,3,409.7437,organelle_far],[653.7725,503.5047,3,1205.481,organelle_far],[618.9218,508.2718,3,338.5381,organelle_far],[662.6417,539.0216,3,347.0779,organelle_far],[653.6344,509.6017,3,861.912,organelle_far],[665.2852,521.4562,4,412.1595,organelle_far],[653.4611,523.3565,4,928.5337,organelle_far],[660.1805,490.0193,4,327.7007,organelle_far],[644.1464,512.7212,4,543.1434,nc],[649.7183,533.8503,4,494.4595,organelle_far],[642.9497,547.6813,4,409.3696,organelle_far],[627.7306,552.6893,5,356.4037,nc],[644.5236,564.7574,5,320.6636,organelle_far],[662.2945,544.697,6,395.6941,organelle_far],[654.8574,499.3467,6,736.4825,organelle_far],[619.4746,524.5965,6,440.1049,organelle_far],[620.1146,500.8633,6,299.0569,organelle_far],[647.6631,522.1558,6,703.4703,organelle_far],[636.4821,562.8512,6,204.2723,organelle_far],[656.9678,519.7653,6,989.0443,organelle_far],[644.642,539.1983,6,416.2249,organelle_far],[620.4663,535.6589,6,458.512,organelle_far],[665.0675,510.1406,6,334.5392,nc],[640.6948,562.6118,6,273.3575,organelle_far],[664.8117,503.0355,7,284.7383,nc],[656.1843,492.6094,7,417.7264,nc],[619.3092,516.0382,7,280.6978,organelle_far],[655.9075,513.8425,7,676.0056,nc],[632.0647,480.6679,7,244.2222,organelle_far],[651.7901,478.5485,7,158.5506,organelle_far],[662.6879,534.9572,7,286.3725,organelle_far],[641.518,475.423,8,283.9505,organelle_far],[664.2084,498.1275,8,289.5366,organelle_far],[636.6591,546.0972,8,776.5793,organelle_far],[654.6575,551.0417,8,376.7534,nc],[624.2654,497.75,8,277.3347,organelle_far],[658.2443,542.8249,8,317.8873,nc],]",38.04095,39.55328,40.11168,38.87855,37.04048,34.78362,35.52815,35.34202,33.41089,32.89902,32.87576,28.80409,
11,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.02456,0.02456,0.00000,0.00000,0.00000,0.00000,0.04912,
