Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,0,0,0,0,[0],0.91479,1.77731,7.73654,30.89388,44.90329,45.11239,40.06796,32.77574,32.14846,34.84056,33.03711,33.66440,
2,0,0,0,0,[0],0.39920,0.48791,3.79242,23.57507,35.21845,35.63983,31.89177,30.11754,30.36150,29.29696,26.99046,30.89377,
3,0,0,0,0,[0],0.04082,0.00000,0.00000,0.00000,0.00000,0.73469,2.53061,5.55102,6.36735,6.57143,4.65306,4.89796,
4,1,0,0,1,"[[1912.4967,267.5746,8,247.7333,nc],]",0.00000,0.00000,0.00000,0.02822,0.08465,1.24153,2.22912,2.82167,3.55530,3.41422,2.37020,2.00339,
5,0,0,0,0,[0],0.00000,0.00000,0.20346,4.93388,12.08037,12.91963,14.64903,16.70905,16.91251,15.41200,13.91150,13.96236,
6,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09033,0.18067,0.36134,0.00000,0.09033,0.00000,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.10608,1.23762,2.51061,3.11174,4.77369,5.30410,2.86421,2.36917,2.33380,
8,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14623,0.00000,0.00000,0.00000,0.00000,0.00000,
9,0,0,0,0,[0],0.02770,0.00000,0.00000,0.02770,0.24931,0.00000,0.02770,0.16620,0.13850,0.08310,0.08310,0.16620,
10,3,0,0,3,"[[723.08,359.9211,5,283.7937,nc],[689.7706,368.258,6,288.1592,nc],[708.7353,344.7175,7,274.1986,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.11085,0.25337,0.11085,0.26920,0.14252,0.03167,0.19002,
