Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,2,0,0,2,"[[429.3334,78.0979,6,503.2887,nc],[438.4031,68.0559,6,265.8837,nc],]",7.04178,8.22102,8.76011,11.01752,11.05121,12.43261,14.99326,14.89218,14.45418,13.24124,12.76954,11.11860,
3,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.11148,0.00000,0.00000,0.00000,0.00000,0.00000,0.05574,
4,0,0,0,0,[0],19.74096,21.25949,25.36847,27.33363,29.79008,32.60384,35.37293,34.47968,33.45243,31.21929,30.10272,27.42296,
5,1,0,0,1,"[[577.0736,130.7341,8,259.6031,nc],]",0.25523,0.51046,0.56151,0.00000,0.05105,0.05105,0.15314,0.00000,0.00000,0.05105,0.00000,0.00000,
6,0,0,0,0,[0],0.09130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,5,1,3,1,"[[800.9065,161.3612,6,250.1547,organelle_far],[790.1018,150.328,7,304.9837,organelle_far],[791.8535,162.9835,8,290.6132,organelle_near],[804.3923,176.2932,8,239.5626,organelle_far],[767.866,193.0082,9,241.6561,nc],]",27.70040,32.40483,37.54256,39.74002,40.94708,41.50418,43.33024,44.69205,44.44444,43.20644,40.45187,37.35686,
9,0,0,0,0,[0],0.51020,1.06679,1.11317,1.11317,0.69573,0.04638,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
12,0,0,0,0,[0],33.86183,35.24915,36.91959,37.34428,37.85391,37.65572,37.79728,39.43941,39.92072,39.46772,36.38165,33.18233,
13,0,0,0,0,[0],38.39286,41.77632,50.00000,54.46429,56.57895,57.37782,56.43797,56.62594,54.41729,49.67105,46.00564,45.81767,
14,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.03873,0.03873,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
15,1,0,0,1,"[[278.9649,235.7734,5,209.5567,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
16,1,0,0,1,"[[1476.8803,256.3347,7,240.5727,nc],]",0.13692,0.36513,0.22821,0.04564,0.04564,0.00000,0.00000,0.00000,0.04564,0.00000,0.00000,0.00000,
17,0,0,0,0,[0],23.17263,18.89580,16.25194,17.88491,25.66096,29.23795,31.49300,30.17107,29.62675,25.19440,13.91913,6.68740,
19,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
20,0,0,0,0,[0],0.00000,0.00000,0.02872,0.00000,0.05744,0.00000,0.00000,0.00000,0.00000,0.00000,0.02872,0.00000,
21,0,0,0,0,[0],35.90185,38.61386,43.60740,46.19027,46.14722,46.92208,46.87904,46.19027,45.24322,45.02798,43.13388,38.87215,
22,14,0,0,14,"[[747.0953,291.1527,4,343.4555,nc],[737.6548,305.1859,4,330.9486,nc],[736.3794,294.3213,4,294.9916,nc],[735.3828,289.4447,5,444.2356,nc],[734.4777,343.2254,5,247.3832,nc],[746.7933,308.8492,6,430.928,nc],[730.1744,306.1218,7,231.4914,nc],[752.0626,303.759,7,333.9225,nc],[706.1718,316.1137,7,253.2307,nc],[758.2151,329.2762,7,255.4655,nc],[755.0416,302.6107,8,290.9271,nc],[750.814,338.7952,8,262.4658,nc],[714.2405,329.5792,9,229.624,nc],[758.6753,314.3937,10,260.5859,nc],]",0.00000,0.00000,0.03064,0.06127,0.00000,0.03064,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
23,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11255,0.00000,0.00000,0.00000,0.00000,0.05627,
24,1,0,0,1,"[[554.9937,349.4887,5,227.6113,nc],]",0.00000,0.00000,0.00000,0.00000,0.06088,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
