Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
0,0,0,0,0,[0],28.50687,38.08448,43.94229,43.52512,40.69181,41.45663,43.94229,44.01182,45.22858,43.29915,43.82062,45.76743,
1,0,0,0,0,[0],0.00000,0.00000,0.00000,0.49881,0.65062,0.34700,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2,0,0,0,0,[0],0.02334,0.00000,0.07001,0.44341,0.51342,0.09335,0.16336,0.28005,0.18670,0.04667,0.00000,0.18670,
3,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02665,0.00000,0.00000,0.00000,
5,0,0,0,0,[0],0.00000,0.00000,0.00000,0.06416,0.06416,0.00000,0.09625,0.00000,0.00000,0.00000,0.00000,0.00000,
6,0,0,0,0,[0],1.34551,4.13263,14.46420,25.99712,30.99471,32.72465,34.98318,38.15473,41.08602,40.84575,37.33782,33.01297,
7,2,0,2,0,"[[1294.0127,182.2662,6,359.3408,organelle_far],[1242.873,182.6476,8,280.5153,organelle_far],]",25.39761,35.32140,42.44533,43.38966,41.36846,33.21736,32.10736,34.26110,36.58052,37.80649,39.06561,45.14579,
8,0,0,0,0,[0],8.03787,17.65921,34.95697,41.84165,39.43201,38.77797,38.07229,35.98967,36.66093,38.00344,38.77797,38.43373,
9,0,0,0,0,[0],0.00000,0.00000,0.17055,0.28425,0.39795,0.36953,0.00000,0.59693,0.82433,1.02331,0.17055,0.05685,
10,2,0,0,2,"[[388.9384,237.52,7,284.3467,nc],[373.6029,225.1656,8,246.7911,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04270,0.00000,0.00000,0.00000,0.00000,0.00000,
11,3,0,0,3,"[[1271.71,252.6339,8,380.7267,nc],[1256.1723,283.8839,8,214.1913,nc],[1286.3627,253.7606,8,307.7536,nc],]",0.00000,0.00000,0.14978,0.52421,0.34948,0.52421,0.14978,0.00000,0.02496,0.02496,0.04993,0.04993,
12,0,0,0,0,[0],0.00000,0.00000,0.00000,0.03266,0.19595,0.35924,0.58785,1.20836,1.43697,1.17570,0.35924,0.00000,
13,1,0,0,1,"[[1173.5661,303.9461,4,331.8471,nc],]",14.64673,24.83239,35.01805,30.84064,26.99845,26.25064,26.89531,28.36514,30.45384,29.86075,27.38525,29.68025,
14,1,0,0,1,"[[93.817,307.448,5,347.8719,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02799,0.00000,0.02799,0.00000,
15,0,0,0,0,[0],0.00000,0.00000,0.20050,0.00000,0.60150,0.92732,0.32581,0.30075,0.40100,0.00000,0.00000,0.02506,
16,1,0,0,1,"[[1142.0637,362.8295,9,251.468,nc],]",9.67370,23.96177,41.72709,40.63942,31.80620,29.41661,30.10877,33.65194,34.90442,37.31048,39.41991,38.69479,
17,2,0,0,2,"[[1019.5559,367.1444,5,357.0748,nc],[1025.2705,365.1284,7,255.5467,nc],]",0.02379,0.00000,0.00000,0.30930,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
