Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
4,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5,0,0,0,0,[0],0.24977,0.12488,0.37465,0.40587,0.31221,0.34343,0.53075,0.18732,0.15610,0.03122,0.03122,0.21855,
6,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,1,0,0,1,"[[468.2963,121.4253,8,240.236,nc],]",0.00000,0.00000,0.00000,0.11687,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
9,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07631,0.00000,0.00000,0.00000,
10,0,0,0,0,[0],0.24534,0.04907,0.04907,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
11,0,0,0,0,[0],0.00000,0.00000,0.00000,0.48860,3.90879,8.63192,17.58958,28.17590,24.91857,21.66124,21.98697,18.24104,
12,0,0,0,0,[0],0.03056,0.15281,0.12225,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
13,0,0,0,0,[0],0.66176,0.58824,1.47059,1.10294,0.88235,0.29412,0.00000,0.29412,0.66176,0.80882,0.58824,0.22059,
14,0,0,0,0,[0],0.00000,0.00000,0.08628,0.00000,0.00000,0.00000,0.08628,0.00000,0.00000,0.00000,0.00000,0.00000,
15,22,0,18,4,"[[1826.1489,176.3482,2,387.9622,organelle_far],[1853.0346,158.0091,2,367.2171,organelle_far],[1852.1365,189.8064,3,357.46,organelle_far],[1835.103,156.0744,3,333.4834,organelle_far],[1856.9092,155.9164,4,299.1528,organelle_far],[1828.2269,188.7297,4,293.4302,organelle_far],[1862.3335,176.0697,4,330.4925,nc],[1844.5171,178.2906,5,415.7164,organelle_far],[1867.7048,169.4448,5,320.8991,organelle_far],[1846.0165,170.0889,5,308.2689,organelle_far],[1823.102,184.7271,6,328.3839,organelle_far],[1829.8366,178.5625,6,343.4879,organelle_far],[1825.2223,158.3055,6,358.5414,organelle_far],[1837.991,181.8136,7,308.9545,organelle_far],[1851.4155,182.2875,7,307.4412,nc],[1845.325,186.3259,7,298.6758,organelle_far],[1820.6539,164.4487,7,299.3419,organelle_far],[1826.6234,167.8249,8,329.3987,nc],[1863.1281,156.3907,8,294.9247,organelle_far],[1829.0951,175.2744,8,408.0233,nc],[1855.4676,148.9896,9,293.9808,organelle_far],[1844.7797,146.7218,9,244.5282,organelle_far],]",23.32382,28.17404,30.06419,31.63338,33.59486,38.87304,43.08131,45.22111,42.29672,38.51641,37.33951,35.41369,
17,9,2,5,2,"[[376.2767,193.5182,1,373.763,nc],[388.4326,207.5506,6,260.1312,organelle_near],[381.9425,196.9899,6,339.08,organelle_far],[372.9448,211.6091,6,264.1496,nc],[366.7604,183.7453,7,269.2264,organelle_far],[387.3743,214.7049,8,389.3572,organelle_far],[396.1597,201.7453,8,338.0334,organelle_near],[376.6316,171.2352,8,280.8136,organelle_far],[364.4877,199.137,8,306.4025,organelle_far],]",24.86756,27.89031,28.85634,31.87909,34.40324,34.09162,35.77438,35.43160,35.83671,36.49112,32.22188,28.88750,
18,2,0,0,2,"[[158.8028,227.9679,7,343.0373,nc],[150.2239,211.4268,7,236.465,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02773,0.05546,
19,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13976,0.00000,
20,0,0,0,0,[0],0.00000,0.18132,0.49864,0.36265,0.18132,0.00000,0.00000,0.04533,0.00000,0.00000,0.00000,0.00000,
21,0,0,0,0,[0],0.05266,0.00000,0.47393,0.52659,1.15850,1.05319,0.89521,0.57925,0.36862,0.15798,0.00000,0.00000,
22,0,0,0,0,[0],26.52575,33.52188,38.46383,43.40578,49.41947,49.30039,48.79428,50.66984,48.49658,46.47216,44.89431,45.72790,
23,3,0,2,1,"[[1804.3607,200.0397,7,248.2477,organelle_far],[1797.4405,205.0304,7,262.423,organelle_far],[1791.1807,193.1506,10,308.3268,nc],]",18.18446,24.78906,26.44748,27.93134,27.75676,31.16090,35.49607,38.02735,38.92930,42.47891,43.70090,42.36253,
24,2,0,2,0,"[[796.0528,199.1249,3,357.6736,organelle_far],[794.2467,195.4797,6,316.0738,organelle_far],]",30.43478,40.43478,41.73913,38.26087,35.21739,20.43478,13.47826,12.17391,13.04348,20.00000,21.30435,30.86957,
25,1,0,1,0,"[[1735.8558,202.6293,10,320.8777,organelle_far],]",30.59350,35.49223,38.31842,43.05228,46.44371,47.57419,47.71550,47.52708,48.28073,51.67216,51.74282,48.63401,
26,0,0,0,0,[0],17.93103,19.37304,21.12853,20.65831,20.56426,23.85580,27.17868,26.73981,24.60815,23.29154,21.91223,23.22884,
27,6,0,6,0,"[[1662.7577,212.407,2,691.1165,organelle_far],[1650.8212,218.4102,3,411.1024,organelle_far],[1662.2785,222.4424,3,398.1103,organelle_far],[1669.0384,223.3928,3,280.3454,organelle_far],[1662.7119,208.0854,3,371.5808,organelle_far],[1658.9712,232.7544,7,286.1922,organelle_far],]",40.44734,49.76701,57.78192,61.13700,57.50233,56.10438,53.12209,50.97856,48.18267,37.74464,26.65424,21.15564,
29,0,0,0,0,[0],0.00000,0.00000,0.11242,0.11242,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
30,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.43332,0.91478,1.29995,1.78142,1.97400,1.54068,0.96293,
31,1,0,0,1,"[[812.1266,297.3625,9,251.767,nc],]",0.06791,0.06791,0.03396,0.23769,0.10187,0.00000,0.03396,0.00000,0.00000,0.03396,0.03396,0.00000,
33,0,0,0,0,[0],0.49900,0.19960,0.04990,0.12475,0.07485,0.00000,0.00000,0.02495,0.00000,0.02495,0.00000,0.02495,
34,0,0,0,0,[0],32.99838,39.67585,39.74068,44.53809,49.10859,50.79417,48.42788,47.52026,46.61264,45.28363,45.41329,45.47812,
35,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
36,1,0,0,1,"[[610.5516,335.0122,10,280.3107,nc],]",0.17705,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
37,0,0,0,0,[0],0.03149,0.09446,0.00000,0.00000,0.00000,0.00000,0.06297,0.18892,0.22040,0.00000,0.00000,0.00000,
39,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.04975,0.00000,0.04975,0.00000,0.00000,0.00000,0.00000,0.00000,
40,1,0,0,1,"[[1437.3389,347.0225,1,312.2291,nc],]",0.00000,0.08013,0.08013,0.05342,0.00000,0.00000,0.00000,0.00000,0.02671,0.00000,0.02671,0.00000,
41,9,0,0,9,"[[121.5515,381.437,4,339.5128,nc],[116.6484,378.9694,4,367.2825,nc],[108.8414,335.9942,4,403.0883,nc],[142.6204,350.9623,5,384.0654,nc],[106.0899,337.1702,5,402.9405,nc],[123.0158,334.8813,5,236.7667,nc],[138.8712,382.6308,7,236.1262,nc],[145.925,375.7523,7,270.8806,nc],[98.1428,378.6254,8,433.4333,nc],]",0.02889,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
42,1,0,0,1,"[[1025.6638,341.2412,5,327.9414,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
43,0,0,0,0,[0],0.54257,1.33556,1.62771,1.50250,1.83639,0.75125,0.08347,0.12521,0.08347,0.00000,0.08347,0.04174,
44,0,0,0,0,[0],35.99127,35.55502,38.02714,41.34755,43.79544,40.81435,39.06932,39.09355,40.28114,40.49927,40.64469,40.25691,
45,1,0,0,1,"[[1754.2209,388.7466,5,256.8012,nc],]",32.67806,36.06838,35.69801,36.72365,37.74929,40.45584,42.56410,43.70370,43.78917,43.27635,41.50997,41.28205,
46,0,0,0,0,[0],0.00000,0.04838,0.24190,0.29028,0.04838,0.00000,0.00000,0.00000,0.00000,0.09676,0.09676,0.04838,
