Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
5,0,0,0,0,[0],0.15144,1.11055,2.67542,4.49268,7.06714,8.22817,9.64160,10.49975,13.57900,16.30490,19.58607,18.12216,
6,0,0,0,0,[0],0.90498,0.55304,0.20111,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
7,0,0,0,0,[0],0.40559,0.18026,0.04507,0.00000,0.04507,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,1,0,0,1,"[[1936.1,147.8997,9,222.9937,nc],]",0.05222,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.20888,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04468,0.00000,0.00000,0.04468,
11,0,0,0,0,[0],0.03101,0.00000,0.00000,0.00000,0.00000,0.00000,0.03101,0.00000,0.00000,0.00000,0.00000,0.00000,
12,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
13,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
14,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17369,0.30395,0.00000,0.00000,0.04342,0.00000,
15,2,0,0,2,"[[227.1271,265.7536,9,247.033,nc],[207.5206,225.1905,9,256.7893,nc],]",0.04234,0.00000,0.16935,0.08467,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
16,0,0,0,0,[0],0.00000,0.00000,0.00000,0.08953,0.04476,0.00000,0.00000,0.00000,0.04476,0.00000,0.00000,0.00000,
17,1,0,0,1,"[[1006.3966,305.3414,2,296.4318,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
18,0,0,0,0,[0],0.03702,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07405,0.00000,0.00000,0.29619,0.11107,
19,3,0,0,3,"[[1128.6296,301.4732,5,218.8498,nc],[1120.7171,331.0009,5,273.7374,nc],[1097.438,318.2707,9,402.3302,nc],]",0.11299,0.41431,0.45198,0.07533,0.00000,0.03766,0.03766,0.00000,0.00000,0.00000,0.00000,0.00000,
20,1,0,0,1,"[[919.2282,321.359,9,219.1284,nc],]",0.00000,0.03211,0.00000,0.12845,0.09634,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
21,2,2,0,0,"[[1387.5913,362.6462,8,295.5238,organelle_near],[1367.305,356.6162,8,264.5526,organelle_near],]",15.56222,15.50225,17.93103,22.90855,25.84708,28.06597,31.18441,34.54273,35.50225,35.65217,34.78261,32.77361,
22,0,0,0,0,[0],0.00000,0.17271,0.46056,1.03627,0.69085,0.00000,0.00000,0.00000,0.05757,0.00000,0.00000,0.00000,
23,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
24,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08071,0.00000,
25,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
26,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
27,0,0,0,0,[0],10.65341,13.21023,16.79688,19.92188,21.87500,24.60938,26.91761,30.78835,34.12642,34.94318,33.91335,32.95455,
28,0,0,0,0,[0],0.00000,0.20161,0.60484,0.60484,0.30242,0.30242,0.10081,0.00000,0.00000,0.00000,0.00000,0.00000,
29,0,0,0,0,[0],0.11228,0.18713,0.11228,0.14970,0.11228,0.11228,0.11228,0.11228,0.11228,0.11228,0.14970,0.14970,
30,1,0,0,1,"[[1028.8582,410.164,7,205.8591,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.03186,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
31,5,0,0,5,"[[1445.7116,405.5356,5,504.613,nc],[1458.5507,414.7795,5,295.4294,nc],[1438.3321,399.388,6,243.3326,nc],[1445.3822,408.3816,8,346.6988,nc],[1423.3211,436.8762,9,268.93,nc],]",0.00000,0.02758,0.02758,0.00000,0.00000,0.00000,0.05516,0.00000,0.02758,0.00000,0.00000,0.00000,
33,0,0,0,0,[0],0.00000,0.03191,0.06382,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
34,0,0,0,0,[0],9.12685,10.64250,12.55354,15.88138,22.33937,26.65568,27.77595,29.45634,32.88303,32.15815,31.92751,30.77430,
35,1,0,0,1,"[[233.6585,426.7466,8,219.3315,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.22910,0.00000,0.00000,0.00000,
36,3,0,1,2,"[[1869.8208,441.8911,7,254.9422,organelle_far],[1844.7905,461.2176,9,238.5658,nc],[1888.7304,462.9636,9,254.518,nc],]",14.48900,17.98189,22.06986,28.17594,30.60802,35.29107,38.24062,39.97413,41.83700,43.26003,45.87322,45.69211,
37,0,0,0,0,[0],3.20891,1.83366,1.50622,1.63720,1.83366,2.48854,2.09561,0.98232,0.00000,0.00000,0.00000,0.00000,
38,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.19857,0.11914,0.00000,0.00000,0.00000,0.35743,0.55600,0.31771,
39,1,0,0,1,"[[191.2748,504.6307,8,212.9617,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03821,0.00000,0.00000,0.00000,
40,0,0,0,0,[0],13.94850,15.23605,17.46245,21.37876,24.32940,25.88519,27.52146,30.49893,30.44528,27.14592,24.22210,24.51717,
41,0,0,0,0,[0],38.67362,41.87779,44.56036,52.60805,55.73770,56.63189,56.11028,53.57675,51.34128,51.26677,48.36066,42.25037,
42,0,0,0,0,[0],17.77473,20.44780,22.89239,28.83253,34.95545,37.97121,41.58099,43.31734,43.86566,42.79187,40.39296,38.81654,
43,0,0,0,0,[0],0.00000,0.05992,0.00000,0.11983,0.11983,0.00000,0.05992,0.05992,0.00000,0.00000,0.00000,0.00000,
45,15,0,0,15,"[[584.9099,641.9438,3,297.9704,nc],[560.9982,623.7446,3,310.7663,nc],[586.4278,614.9045,4,496.1389,nc],[556.5951,642.7691,4,320.2405,nc],[577.9005,627.7847,4,499.6061,nc],[592.537,637.0637,5,202.1964,nc],[576.8802,653.1205,6,303.2559,nc],[567.9928,653.528,6,328.2827,nc],[570.9815,627.2421,7,243.4663,nc],[547.7056,638.9486,7,276.4119,nc],[560.4087,636.1318,8,292.0155,nc],[579.5127,611.5743,8,323.6635,nc],[551.7483,611.0708,9,333.6416,nc],[558.3753,620.835,9,288.0542,nc],[561.5387,616.2854,10,330.3729,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
46,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
47,0,0,0,0,[0],0.00000,0.00000,0.05342,0.16026,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
48,2,0,0,2,"[[473.8905,694.6935,7,284.912,nc],[474.6238,644.4569,9,266.8376,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
50,1,0,0,1,"[[919.6847,649.0646,9,231.326,nc],]",4.70518,4.16915,3.03752,2.14413,2.41215,3.51400,3.54378,3.90113,3.33532,2.20369,2.08457,1.90590,
51,2,0,1,1,"[[559.7387,687.1439,8,280.8476,nc],[516.789,670.6588,10,276.4617,organelle_far],]",9.52797,9.65909,9.26573,7.16783,8.95979,7.21154,6.51224,11.05769,9.87762,9.48427,10.09615,8.34790,
52,3,0,0,3,"[[589.1085,702.9758,4,269.6052,nc],[626.1468,682.9484,5,330.1295,nc],[625.9899,673.9335,9,233.3295,nc],]",4.28779,2.79797,2.72529,3.16134,4.50581,3.96076,3.08866,2.10756,2.54360,3.67006,3.59738,3.05233,
53,0,0,0,0,[0],0.00000,0.00000,0.04993,0.00000,0.00000,0.00000,0.04993,0.09985,0.00000,0.09985,0.00000,0.00000,
54,0,0,0,0,[0],11.66667,14.11765,17.48366,25.03268,29.18301,31.56863,31.60131,31.73203,30.55556,32.18954,34.24837,33.43137,
55,3,0,0,3,"[[1576.4638,747.1145,5,329.2012,nc],[1580.878,747.9412,6,236.1359,nc],[1591.3444,748.1036,8,306.6552,nc],]",0.00000,0.11406,0.17109,0.22812,0.00000,0.00000,0.00000,0.00000,0.05703,0.00000,0.05703,0.00000,
56,9,0,5,4,"[[565.7935,733.7741,4,313.2414,nc],[589.1694,752.5163,5,238.8166,organelle_far],[553.9645,717.7705,5,224.0751,organelle_far],[589.169,725.7987,8,229.257,organelle_far],[570.185,744.993,8,254.1768,nc],[549.0026,729.726,9,239.4692,nc],[562.5498,757.5492,9,273.1591,organelle_far],[578.8645,750.4068,9,255.2543,nc],[549.6831,756.9461,9,304.9701,organelle_far],]",26.68286,26.82165,26.64816,28.27897,29.63220,31.47120,32.92852,34.90632,39.00069,39.27828,41.53366,40.83969,
57,0,0,0,0,[0],7.55585,6.86597,6.11038,5.12484,4.66491,4.17214,2.23390,1.28121,1.77398,1.51117,1.44547,0.95269,
58,2,0,0,2,"[[1504.3725,730.3049,8,436.5452,nc],[1530.3155,728.3954,8,335.3511,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03601,0.07202,0.10803,0.00000,0.00000,0.00000,
59,2,0,0,2,"[[500.0666,779.9883,8,225.6644,nc],[482.1389,738.4966,10,218.3449,nc],]",0.03425,0.03425,0.00000,0.00000,0.06849,0.00000,0.10274,0.20548,0.06849,0.00000,0.00000,0.00000,
60,0,0,0,0,[0],0.04762,0.00000,0.00000,0.04762,0.23810,0.71429,0.90476,0.57143,0.23810,0.19048,0.00000,0.04762,
61,0,0,0,0,[0],35.90982,38.96940,41.70692,47.10145,54.42834,57.24638,55.31401,51.28824,47.26248,44.60548,38.88889,31.48148,
62,4,0,0,4,"[[1313.3167,777.1403,4,212.2196,nc],[1324.5766,773.1483,5,354.3499,nc],[1326.9823,788.6676,8,251.5931,nc],[1313.6811,757.6137,8,246.5699,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.03978,0.00000,0.00000,0.00000,0.00000,
63,0,0,0,0,[0],0.46275,0.74040,2.68394,8.09810,13.69736,16.47385,21.14762,29.06062,36.92735,39.24109,41.32346,40.21286,
64,3,1,1,1,"[[958.1963,807.5056,8,625.4061,nc],[968.2463,816.4628,9,227.2438,organelle_far],[946.9478,795.803,9,273.0577,organelle_near],]",19.60514,21.02847,21.76309,25.25253,24.51791,23.96694,20.98255,19.37557,18.08999,16.43710,15.10560,13.31497,
65,2,0,0,2,"[[1123.6474,801.369,7,218.427,nc],[1130.6642,841.9348,8,280.2422,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
66,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.06873,0.06873,0.06873,0.00000,0.00000,0.00000,0.00000,0.00000,
67,0,0,0,0,[0],5.25031,4.92470,4.92470,3.33740,2.88970,2.84900,2.48270,2.84900,2.64550,1.95360,1.18030,2.48270,
