Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02370,0.16588,0.90047,
4,0,0,0,0,[0],19.21865,21.77064,22.74732,20.98299,16.03655,14.55577,12.50788,9.89288,11.15312,11.72023,10.52300,5.86011,
5,0,0,0,0,[0],11.68033,14.87705,16.39344,14.79508,12.45902,10.45082,12.00820,12.50000,10.16393,6.68033,5.65574,3.07377,
6,2,0,0,2,"[[1106.529,256.326,6,257.0412,nc],[1107.5097,280.1042,6,243.1525,nc],]",0.00000,0.00000,0.00000,0.03420,0.03420,0.00000,0.00000,0.00000,0.00000,0.00000,0.03420,0.78659,
7,9,0,0,9,"[[1700.8621,289.0633,3,330.8591,nc],[1689.6742,289.8766,3,241.8034,nc],[1708.0208,270.8483,4,265.3828,nc],[1692.8102,271.5315,5,256.1615,nc],[1662.744,258.0951,5,312.4726,nc],[1666.5248,255.508,5,239.9523,nc],[1665.8428,263.0834,6,335.8239,nc],[1702.1304,280.5208,6,239.7213,nc],[1694.3284,256.1416,7,273.4268,nc],]",0.00000,0.13289,0.26578,0.03322,0.00000,0.00000,0.03322,0.00000,0.03322,0.00000,0.33223,0.53156,
8,40,0,0,40,"[[1031.1207,270.6192,1,314.1819,nc],[1072.781,269.1711,1,517.6503,nc],[1033.9748,303.4419,1,375.9469,nc],[1074.7824,279.0746,2,427.5726,nc],[1057.8511,267.4518,2,498.1296,nc],[1035.8931,248.6039,2,404.2006,nc],[1038.0878,294.4915,2,474.6352,nc],[1033.434,266.1557,2,372.85,nc],[1062.2677,272.4403,2,379.4052,nc],[1066.7982,296.1655,2,324.6554,nc],[1048.5763,288.26,2,403.7112,nc],[1032.1023,240.136,2,395.6044,nc],[1042.6956,238.9015,3,316.0051,nc],[1052.6765,281.7557,3,550.3267,nc],[1049.3684,278.3739,3,777.0475,nc],[1062.2177,263.7841,3,399.7414,nc],[1068.3456,283.0388,3,480.6608,nc],[1042.3304,264.4208,3,354.4898,nc],[1054.6965,305.5697,3,297.3367,nc],[1044.6464,257.9078,3,311.9182,nc],[1065.5776,299.9295,3,304.4321,nc],[1027.0202,265.899,4,339.8712,nc],[1014.9702,256.0745,4,498.3905,nc],[1006.0302,260.7577,4,233.5044,nc],[1067.0383,253.2844,4,299.584,nc],[1037.7191,261.4248,4,285.1634,nc],[1041.3828,289.8456,4,449.1442,nc],[1026.6028,287.3828,4,377.6118,nc],[1069.3114,261.5309,4,295.1,nc],[1069.89,250.1638,4,273.6093,nc],[1047.2348,291.8366,5,687.1405,nc],[1025.052,252.8294,5,279.3901,nc],[1006.6964,288.3285,5,268.9839,nc],[1039.3712,256.5589,5,363.9557,nc],[1049.2789,248.6019,5,297.0867,nc],[1043.4215,270.2358,5,393.8748,nc],[1013.6799,294.711,5,488.1336,nc],[1024.1797,302.6957,5,252.8604,nc],[1037.3655,284.0783,5,450.8184,nc],[1074.722,290.9564,6,566.176,nc],]",0.02195,0.02195,0.00000,0.04390,0.06585,0.06585,0.02195,0.02195,0.00000,0.00000,0.06585,0.76822,
9,13,0,0,13,"[[1612.3211,278.7259,4,387.5099,nc],[1610.3108,256.1915,4,467.6702,nc],[1644.4144,253.8515,6,280.3358,nc],[1599.0046,272.6249,6,231.4733,nc],[1614.973,252.9246,6,311.4191,nc],[1641.6647,285.2325,6,375.579,nc],[1631.6421,292.1848,7,220.6428,nc],[1625.8211,284.8589,7,323.8428,nc],[1640.541,294.0883,7,235.0835,nc],[1633.7367,279.9845,8,263.0476,nc],[1645.361,262.2329,9,260.3612,nc],[1633.3332,287.1779,9,288.2477,nc],[1616.6484,269.7801,9,306.1619,nc],]",0.00000,0.06676,0.00000,0.03338,0.03338,0.00000,0.03338,0.00000,0.00000,0.00000,0.13351,1.00134,
10,10,0,6,4,"[[980.9902,270.3301,2,391.1546,organelle_far],[987.2851,283.1015,2,361.1123,organelle_far],[993.5694,266.0365,2,515.4225,organelle_far],[982.6111,260.1214,4,265.6535,organelle_far],[975.2428,284.2833,5,292.4774,nc],[971.1059,277.7899,6,318.7964,organelle_far],[993.5384,282.334,6,309.2798,nc],[989.849,284.7712,7,269.3404,organelle_far],[992.1043,266.64,7,286.4174,nc],[988.0954,270.8095,8,237.589,nc],]",27.41935,28.52292,27.75891,34.21053,32.76740,35.22920,33.19185,27.41935,17.23260,14.43124,10.69610,6.11205,
11,2,0,0,2,"[[1708.5745,305.994,3,309.2876,nc],[1719.6015,328.5878,4,235.5762,nc],]",0.32692,0.76280,1.08972,0.54486,0.14530,0.07265,0.00000,0.00000,0.03632,0.00000,0.29059,0.94442,
12,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.86916,
