Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,12,0,0,12,"[[1533.6761,74.6731,3,363.1632,nc],[1537.7221,78.3649,3,251.4697,nc],[1532.0198,79.8986,3,275.9094,nc],[1510.209,97.8693,3,300.4732,nc],[1521.128,74.2495,4,310.3264,nc],[1525.3757,94.5644,4,498.2855,nc],[1546.8231,89.5123,4,274.9999,nc],[1526.1532,50.6992,4,348.9107,nc],[1507.5594,91.1104,8,270.6202,nc],[1502.7974,94.9721,8,280.7396,nc],[1537.9867,90.3131,9,268.6806,nc],[1524.1637,82.2648,10,1367.5212,nc],]",0.03471,0.00000,0.00000,0.06942,0.13884,0.13884,0.03471,0.03471,0.00000,0.00000,0.00000,0.03471,
3,6,0,0,6,"[[1421.9722,63.3055,3,247.6696,nc],[1391.867,85.3618,4,302.928,nc],[1420.6901,93.2501,4,346.2973,nc],[1383.3293,73.6238,4,224.8948,nc],[1427.7704,64.6871,5,240.6561,nc],[1408.3994,101.8226,7,238.685,nc],]",3.08418,2.21335,1.52395,2.24964,3.12046,2.68505,2.21335,1.59652,0.97968,0.97968,1.16110,0.47170,
4,3,0,0,3,"[[1119.9654,87.3528,3,226.5582,nc],[1130.8676,87.6824,3,266.7453,nc],[1111.6799,76.3514,9,270.7194,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5,5,0,3,2,"[[1457.4848,86.8134,3,237.513,nc],[1452.2683,72.0764,3,318.9504,organelle_far],[1451.7219,79.1351,4,340.274,organelle_far],[1479.9728,106.2324,7,358.5197,organelle_far],[1482.3698,88.8653,8,289.6806,nc],]",33.45826,32.64055,34.41227,33.69676,36.04770,41.46508,45.17888,46.47359,45.04259,40.98807,37.06985,33.69676,
6,0,0,0,0,[0],9.91150,9.73451,9.02655,7.40413,8.43658,9.29204,10.00000,10.53097,9.70501,10.26549,8.14159,8.02360,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.05814,0.11628,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,0,0,0,0,[0],0.44212,0.52251,1.08521,0.96463,0.68328,0.00000,0.00000,0.04019,0.00000,0.04019,0.00000,0.00000,
9,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.05666,0.00000,0.11331,0.22663,0.00000,0.00000,0.00000,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
11,8,0,0,8,"[[1136.2105,149.3668,5,245.8826,nc],[1158.8331,120.8683,5,289.7199,nc],[1129.7532,136.8012,6,244.9927,nc],[1154.0304,113.0742,6,313.3713,nc],[1168.5037,141.5283,7,240.7665,nc],[1155.7212,143.8179,7,455.4951,nc],[1147.12,148.8535,8,402.8384,nc],[1154.0952,155.3739,8,272.1357,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04460,0.00000,0.00000,0.00000,0.00000,
12,0,0,0,0,[0],36.83547,37.16301,35.22298,35.67649,35.60091,34.81985,35.75208,37.23860,36.73469,35.62610,35.57571,37.38977,
13,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
14,8,0,0,8,"[[1295.7798,168.9141,4,477.0102,nc],[1307.5183,190.2276,5,278.7902,nc],[1331.7071,152.6757,7,223.2836,nc],[1314.7369,165.2258,7,307.9396,nc],[1306.737,149.3457,8,217.6056,nc],[1329.5814,177.1477,9,240.8848,nc],[1320.5217,168.7611,9,265.3854,nc],[1336.8437,181.4487,9,230.6357,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11957,0.23914,
15,14,0,0,14,"[[1688.2481,184.0522,1,1540.0873,nc],[1680.5897,177.3037,3,275.4973,nc],[1669.0398,185.0368,3,227.4084,nc],[1685.1215,166.2579,4,279.3351,nc],[1684.4298,188.7792,5,404.4423,nc],[1708.9985,198.0827,5,243.3012,nc],[1691.5305,199.6195,5,226.0955,nc],[1702.9705,202.4466,5,364.1095,nc],[1689.9464,209.9581,5,303.819,nc],[1709.4095,207.7362,6,331.9566,nc],[1715.7484,207.775,6,378.1945,nc],[1671.4054,193.1787,7,242.4293,nc],[1718.7326,182.1562,7,241.5381,nc],[1712.2217,179.3369,8,228.9251,nc],]",0.14337,0.21505,0.00000,0.00000,0.10753,0.32258,0.28674,0.10753,0.07168,0.00000,0.00000,0.00000,
