Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
0,0,0,0,0,[0],0.49566,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
1,0,0,0,0,[0],0.04721,0.00000,0.00000,0.00000,0.00000,0.02361,0.11804,0.16525,0.04721,0.04721,0.11804,0.00000,
2,0,0,0,0,[0],0.10762,0.06457,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02152,0.04305,0.02152,0.04305,
3,2,0,0,2,"[[380.1333,245.3398,5,264.5643,nc],[357.8524,263.8442,7,236.2303,nc],]",0.03113,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
4,0,0,0,0,[0],6.89593,8.33633,18.18509,38.26071,44.56248,45.87685,39.10695,35.25387,36.47821,37.05438,41.23154,46.41700,
5,0,0,0,0,[0],0.11521,0.00000,0.00000,0.09217,1.15207,1.75115,1.61290,1.35945,1.72811,2.02765,1.82028,1.19816,
6,5,0,0,5,"[[1310.6941,322.2348,5,320.1766,nc],[1366.6857,292.2344,5,390.9943,nc],[1340.6504,318.2895,6,351.536,nc],[1336.8037,342.8224,8,403.1565,nc],[1328.9437,293.0004,9,332.3013,nc],]",0.07391,0.01478,0.00000,0.00000,0.01478,0.00000,0.00000,0.02956,0.07391,0.01478,0.05913,0.00000,
7,0,0,0,0,[0],0.18563,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,0,0,0,0,[0],0.23904,0.05312,0.00000,0.00000,0.00000,0.02656,0.23904,0.21248,0.21248,0.13280,0.00000,0.00000,
9,3,0,0,3,"[[156.6177,505.6092,7,274.7655,nc],[175.9354,512.0761,8,247.8533,nc],[155.1814,523.4004,8,273.2551,nc],]",0.06485,0.02162,0.00000,0.00000,0.04323,0.00000,0.00000,0.00000,0.04323,0.00000,0.08647,0.17294,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.35088,0.46784,0.00000,0.00000,0.00000,0.00000,
11,0,0,0,0,[0],0.02982,0.00000,0.01491,0.01491,0.13419,0.40256,1.95318,7.30580,11.25690,14.80543,16.87789,17.44446,
12,0,0,0,0,[0],0.07737,0.00000,0.01934,0.00000,0.13540,0.09671,0.01934,0.07737,0.03868,0.07737,0.07737,0.03868,
13,0,0,0,0,[0],0.09246,0.00000,0.00000,0.00000,0.06935,0.20804,0.06935,0.06935,0.02312,0.00000,0.00000,0.00000,
14,8,0,0,8,"[[1179.1489,615.8393,4,481.3423,nc],[1188.1523,628.6334,6,381.0514,nc],[1244.7817,660.0879,6,287.295,nc],[1230.5727,646.8112,6,405.088,nc],[1200.6083,599.7752,7,235.6255,nc],[1216.0531,586.1576,7,258.9962,nc],[1204.7365,644.8547,8,306.8351,nc],[1231.135,611.1851,8,236.1519,nc],]",0.07774,0.04664,0.00000,0.00000,0.03109,0.10883,0.00000,0.15547,0.35759,0.46642,0.03109,0.01555,
15,5,0,0,5,"[[1281.4109,682.695,5,368.7122,nc],[1246.8844,723.8305,6,293.8537,nc],[1243.2413,699.2237,6,262.9297,nc],[1273.0323,696.4866,8,308.9526,nc],[1295.3317,727.2654,9,294.6933,nc],]",0.58471,0.87706,7.49346,25.29620,26.05016,23.43437,23.48054,20.18772,19.84921,17.00262,17.31036,16.44868,
16,10,0,1,9,"[[1489.3745,812.3675,6,165.2469,nc],[1518.2037,816.1733,6,385.6027,nc],[1517.818,753.0473,6,285.6736,nc],[1475.2543,747.4464,7,409.7618,nc],[1533.8497,770,7,207.7955,nc],[1524.8475,811.4928,8,323.6718,nc],[1540.2239,791.1292,8,347.3093,nc],[1504.0262,724.4399,8,375.4107,organelle_far],[1491.1318,804.0421,9,258.0347,nc],[1500.9562,763.4195,9,360.2495,nc],]",1.25252,2.57213,12.79356,28.34936,29.75844,21.20331,16.59584,15.23149,15.45516,19.35809,25.55357,20.56587,
17,1,0,0,1,"[[1223.8992,810.7339,8,233.4476,nc],]",1.19194,2.58049,13.98378,26.51757,24.31801,21.00025,22.72057,22.56083,21.24601,22.13074,19.80831,14.74564,
18,3,0,0,3,"[[309.7563,800.8639,5,241.5619,nc],[265.8917,813.234,5,232.1754,nc],[293.9401,782.6935,6,256.91,nc],]",0.34827,0.86311,4.16414,16.00545,19.38219,15.26348,15.06663,15.97517,14.02180,14.64264,16.79285,14.05209,
19,6,0,0,6,"[[1444.057,824.0013,3,420.1402,nc],[1395.3225,807.4511,4,249.8715,nc],[1406.8838,854.9234,5,525.3472,nc],[1411.4967,808.3585,5,315.1008,nc],[1411.5653,802.5759,6,255.7283,nc],[1422.7193,801.3839,7,330.4079,nc],]",2.31502,4.72084,19.06491,32.80375,29.20260,24.61795,26.07051,24.01271,23.39234,22.24240,24.49690,18.98926,
20,0,0,0,0,[0],0.22989,0.00000,0.00000,0.22989,6.20690,14.25287,22.06897,24.59770,32.87356,30.80460,27.35632,25.28736,
21,3,0,0,3,"[[254.648,855.0198,4,242.4576,nc],[257.6621,849.8117,4,337.8024,nc],[264.7623,845.7137,5,293.3584,nc],]",0.22586,0.00000,0.00000,0.00000,0.50819,0.67758,1.01637,1.07284,0.81875,0.42349,0.11293,0.00000,
22,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
23,2,0,0,2,"[[1470.0666,925.0126,7,287.1502,nc],[1435.2861,911.8878,7,230.9394,nc],]",48.85095,52.23244,53.70978,47.80039,39.13329,31.12278,30.13789,35.02955,37.22915,45.56796,56.46750,58.43729,
24,0,0,0,0,[0],41.86477,45.63137,48.62612,46.00185,44.64341,36.77061,35.56653,39.70361,41.43254,45.01389,50.26243,51.89873,
25,3,0,0,3,"[[234.9055,920.6255,4,258.5202,nc],[218.0539,916.0624,6,304.5744,nc],[259.0337,935.0417,7,289.9348,nc],]",0.03208,0.06416,0.00000,0.00000,0.00000,0.00000,0.00000,0.03208,0.00000,0.00000,0.00000,0.00000,
26,0,0,0,0,[0],0.01978,0.00000,0.03956,0.27695,0.77151,0.37587,0.19782,0.17804,0.05935,0.05935,0.01978,0.00000,
27,1,0,0,1,"[[1441.7293,971.9185,3,239.6195,nc],]",0.69686,0.47909,0.13066,0.00000,0.00000,0.43554,1.35017,1.26307,0.87108,0.00000,0.00000,0.00000,
28,3,0,0,3,"[[1605.802,1021.4584,3,381.0632,nc],[1623.9417,1010.2949,4,323.4841,nc],[1579.1157,1028.2569,6,256.4834,nc],]",0.00000,0.00000,0.00000,0.04090,0.00000,0.06135,0.38855,1.02249,1.20654,1.00204,0.28630,0.00000,
29,4,0,1,3,"[[1469.7016,1123.656,3,440.6169,nc],[1443.9539,1125.177,4,416.3916,nc],[1428.0929,1124.325,5,257.9111,organelle_far],[1465.8896,1078.0733,8,273.3424,nc],]",23.56177,31.00937,43.16932,46.20187,41.54898,35.82578,33.62569,34.87439,33.46217,32.64457,37.46098,32.16887,
30,0,0,0,0,[0],0.82093,0.61570,0.82093,1.53925,2.20626,3.43766,5.13084,5.38738,6.20831,6.15700,6.00308,4.56644,
31,0,0,0,0,[0],0.23337,0.07779,0.89459,1.75029,1.16686,1.05018,1.16686,1.40023,1.08907,0.62233,0.23337,0.77791,
32,0,0,0,0,[0],0.06288,0.00000,0.00000,0.00000,0.06288,0.02096,0.00000,0.00000,0.00000,0.04192,0.00000,0.02096,
33,0,0,0,0,[0],0.12279,0.00000,0.02456,0.00000,0.00000,0.07367,0.04912,0.00000,0.00000,0.00000,0.00000,0.00000,
34,0,0,0,0,[0],0.17828,0.04457,0.00000,0.10400,0.00000,0.00000,0.04457,0.10400,0.19314,0.34170,0.29713,0.01486,
35,7,2,2,3,"[[1905.5981,1330.647,3,219.954,organelle_near],[1916.3549,1315.7003,5,213.8006,nc],[1936.0072,1323.888,5,300.9869,nc],[1885.9847,1349.9267,5,307.4279,organelle_near],[1953.7061,1350.1476,5,293.1353,organelle_far],[1927.0202,1369.0607,8,260.7325,nc],[1945.1537,1308.7043,8,224.1995,organelle_far],]",32.11441,35.17379,41.38306,43.48298,40.96669,35.48154,33.25489,38.97538,42.90369,44.84070,40.69515,26.30340,
36,0,0,0,0,[0],29.65969,32.32984,36.98953,34.73822,27.14660,23.87435,24.84293,26.67539,26.88482,31.70157,33.48168,20.44503,
37,0,0,0,0,[0],0.74627,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
38,0,0,0,0,[0],0.09372,0.09372,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
39,0,0,0,0,[0],34.28140,37.81259,43.40478,44.92993,41.68728,37.11184,36.01264,36.16378,39.20033,44.49024,42.09948,24.37483,
40,0,0,0,0,[0],3.92491,5.46075,6.25000,5.39676,5.86604,6.46331,7.59386,6.69795,6.05802,6.42065,4.18089,0.61860,
41,3,0,0,3,"[[1808.9444,1396.2059,5,293.8543,nc],[1829.0298,1399.1584,8,262.8318,nc],[1805.8718,1399.2245,9,298.3208,nc],]",0.16953,0.09688,0.00000,0.09688,0.07266,0.04844,0.00000,0.02422,0.00000,0.00000,0.00000,0.07266,
