Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,55,1,1,53,"[[531.9634,74.0334,2,383.2087,nc],[530.3821,142.5782,2,332.9475,organelle_far],[505.4732,120.8029,2,325.7452,nc],[520.6492,144.8986,2,569.7162,nc],[521.6519,110.3199,2,483.4072,nc],[541.6455,121.853,2,272.6152,nc],[508.9282,121.3,2,305.7855,nc],[539.2702,110.085,2,495.843,nc],[527.1583,148.2376,3,275.1028,nc],[545.9005,93.7327,3,244.6587,nc],[520.0388,67.6303,3,228.7092,nc],[537.3055,133.3327,3,284.8574,nc],[492.2429,140.899,3,553.3206,nc],[476.0129,85.3978,3,331.9074,nc],[519.546,107.0728,3,473.5463,nc],[532.8803,110.9399,3,586.2391,nc],[533.8082,92.3605,3,269.4675,nc],[495.5612,146.5501,4,398.7216,nc],[510.2641,60.7284,4,231.8519,nc],[532.2115,116.4381,4,603.3335,nc],[525.3858,78.3407,4,383.6152,nc],[514.5035,149.9491,4,327.8409,nc],[509.5049,64.1208,4,239.4932,nc],[526.1814,104.0309,4,580.1136,nc],[526.6169,91.0818,4,415.1263,nc],[518.5791,133.8256,5,447.6397,nc],[537.6186,78.4571,5,333.1182,nc],[510.8316,129.2462,5,452.8498,organelle_near],[516.9918,85.0689,5,338.4343,nc],[502.8988,62.7469,5,328.2237,nc],[493.1578,113.6601,5,344.5158,nc],[516.136,97.4044,5,521.4087,nc],[528.4932,84.0188,5,542.462,nc],[476.1202,116.0893,5,413.477,nc],[502.8092,144.7655,6,250.1843,nc],[523.3275,133.4281,6,455.7562,nc],[518.2055,140.0948,7,315.4272,nc],[509.4851,94.0217,7,419.339,nc],[497.0451,98.7355,7,220.7263,nc],[497.4246,103.5984,7,246.6466,nc],[519.3208,129.5243,7,270.3446,nc],[518.0242,91.1174,7,603.1524,nc],[471.8113,103.5214,7,332.5535,nc],[528.3207,135.1404,7,275.1227,nc],[535.1308,99.9534,8,236.2034,nc],[509.1287,124.0468,8,439.2263,nc],[529.5643,128.5199,8,376.9727,nc],[516.9526,113.9607,8,297.065,nc],[476.8241,109.9773,8,476.4406,nc],[503.1246,104.5474,8,249.6762,nc],[497.1971,65.0986,8,325.8378,nc],[477.9464,104.3694,8,327.1127,nc],[534.2743,126.7715,8,420.7209,nc],[500.3892,67.0434,9,275.8964,nc],[522.4796,122.882,9,301.5988,nc],]",0.08453,0.03381,0.03381,0.08453,0.52409,0.47337,0.21978,0.08453,0.06762,0.15216,0.10144,0.89603,
4,9,0,1,8,"[[551.3014,145.5175,3,300.3576,nc],[566.75,147.303,3,246.1036,nc],[559.7206,146.8189,4,305.0148,organelle_far],[557.2913,149.1133,4,460.3555,nc],[558.7762,159.7597,5,241.4388,nc],[574.7986,155.6895,5,242.562,nc],[548.8155,145.4339,6,625.1443,nc],[563.1478,133.2911,6,288.2634,nc],[562.8829,154.7186,8,345.4875,nc],]",0.59215,1.92450,1.99852,1.48038,0.07402,0.22206,0.44412,0.37010,0.14804,0.22206,0.00000,0.96225,
5,0,0,0,0,[0],0.00000,0.00000,0.06099,0.03050,0.00000,0.00000,0.06099,0.06099,0.06099,0.00000,0.12199,0.33547,
6,0,0,0,0,[0],0.00000,0.00000,0.01976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01976,0.03952,0.37542,
7,0,0,0,0,[0],12.94014,18.75000,26.05634,29.40141,31.86620,37.76408,39.87676,33.53873,25.08803,15.93310,15.14085,13.73239,
9,0,0,0,0,[0],0.04719,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04719,0.04719,0.37754,
10,4,0,0,4,"[[252.7329,321.3011,2,259.1478,nc],[264.0526,307.0618,4,246.0225,nc],[253.8043,295.1056,4,242.2088,nc],[248.7551,302.1396,6,214.6839,nc],]",0.00000,0.00000,0.07570,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.37850,
11,11,1,1,9,"[[232.0196,336.3155,2,307.0486,nc],[235.6101,334.8018,3,268.0524,nc],[231.687,341.8598,3,275.7809,nc],[242.2683,352.4323,3,330.5198,nc],[227.5602,322.2183,3,234.6033,nc],[221.3208,326.816,4,234.7096,nc],[246.9355,334.9242,5,318.7551,organelle_near],[233.8457,330.1242,5,228.8839,nc],[245.9771,348.0988,6,339.6877,nc],[246.9637,340.4626,7,296.5243,organelle_far],[231.0155,336.4026,8,271.9805,nc],]",10.25830,15.79336,18.00738,18.22878,20.66421,23.91144,18.30258,16.23616,13.28413,5.38745,5.38745,3.83764,
12,31,1,15,15,"[[387.6416,373.4891,4,366.812,nc],[389.726,338.8771,4,357.7499,organelle_far],[430.2099,358.5728,4,389.684,organelle_far],[416.0932,405.9901,4,384.5966,organelle_far],[395.1253,382.3993,4,378.5474,nc],[399.7752,363.2655,4,262.0089,organelle_far],[404.6753,362.4632,4,291.6545,organelle_far],[452.792,359.2,4,353.2965,organelle_far],[425.1158,346.4469,4,317.4494,nc],[447.3163,384.7563,4,288.2814,nc],[426.6206,344.68,5,384.9667,nc],[419.9359,344.064,5,305.5595,organelle_far],[379.8425,353.4129,5,284.7246,organelle_far],[398.2254,377.1504,5,359.9506,nc],[397.8886,386.6553,5,405.9169,organelle_far],[434.1081,388.6028,5,275.0909,organelle_near],[403.6164,374.383,5,330.0611,nc],[405.5626,354.1549,6,261.4929,organelle_far],[395.9324,333.5235,6,230.8217,organelle_far],[412.9796,325.9349,6,280.5679,organelle_far],[432.9911,330.9084,6,284.54,organelle_far],[406.3,400.9697,6,229.045,nc],[391.488,360.3825,7,533.6795,organelle_far],[440.4484,387.0199,7,235.6541,nc],[436.8627,353.4942,7,332.8925,organelle_far],[423.3142,362.6122,7,237.3748,nc],[424.9201,374.091,7,272.5028,nc],[414.8208,369.7558,7,254.1604,nc],[415.3376,400.263,7,458.4916,nc],[423.1478,356.9451,7,282.7169,nc],[432.1254,375.5557,7,331.4276,nc],]",30.31305,30.42971,34.04628,38.53782,39.60723,38.57671,39.78223,35.56290,32.78242,29.88528,19.69668,12.42465,
13,11,0,0,11,"[[475.0212,359.3586,3,255.3735,nc],[495.2974,371.3949,3,377.7568,nc],[498.0695,355.9912,4,338.6594,nc],[493.1744,378.9114,5,377.3079,nc],[481.9327,341.8306,5,281.5314,nc],[502.0148,350.614,5,335.5121,nc],[460.6581,355.5323,5,368.6836,nc],[499.6629,379.2417,5,285.6744,nc],[506.18,398.3336,6,220.1069,nc],[478.1714,350.9929,6,263.5073,nc],[484.8187,368.398,6,301.0647,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.04134,0.00000,0.00000,0.00000,0.08268,0.10335,0.49607,
