Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
0,0,0,0,0,[0],0.15733,1.23894,10.50147,20.92429,25.99803,22.49754,26.86332,29.89184,31.48476,28.53491,25.46706,24.46411,
1,0,0,0,0,[0],0.00000,0.00000,1.32086,6.60429,12.65823,11.99780,14.14419,18.43698,19.70281,23.05999,25.42653,25.37149,
2,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02378,0.04755,0.00000,0.00000,0.00000,0.00000,
4,0,0,0,0,[0],0.32419,0.59850,6.63342,14.66334,24.88778,30.19950,32.29426,36.30923,39.22693,38.17955,36.33416,36.60848,
5,0,0,0,0,[0],0.23006,0.72853,11.04294,25.28758,30.77071,25.90107,27.43482,28.60429,32.05521,32.51534,29.52454,26.03528,
6,0,0,0,0,[0],0.23202,4.40835,10.67285,14.15313,19.87626,21.57773,18.40681,18.40681,24.98067,38.66976,39.52049,37.74169,
7,0,0,0,0,[0],0.78345,1.64525,14.36854,29.56753,39.48605,33.67283,30.53902,33.32811,33.32811,32.71702,31.74553,32.51332,
8,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.08698,0.00000,0.30441,0.10872,0.00000,0.00000,0.00000,0.00000,
9,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09957,0.00000,0.00000,0.00000,0.03319,
10,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11190,0.18650,0.55949,0.82059,0.85789,0.74599,
11,0,0,0,0,[0],0.08276,0.00000,0.00000,0.00000,0.02069,0.06207,0.20691,0.02069,0.00000,0.00000,0.00000,0.00000,
12,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
13,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.01873,0.11236,0.00000,0.00000,0.13109,0.11236,0.24345,0.11236,
14,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.09500,0.00000,0.00000,0.00000,0.03167,0.00000,0.00000,0.00000,
15,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06002,0.00000,0.00000,0.00000,0.00000,0.03001,
16,2,0,0,2,"[[807.1733,306.8854,6,346.2151,nc],[795.9814,307.3847,8,329.4789,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
18,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.03690,0.18450,0.22140,0.00000,0.03690,0.00000,0.00000,0.00000,
19,0,0,0,0,[0],0.00000,0.00000,0.02630,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02630,0.00000,0.00000,
