Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,1,0,0,1,"[[884.7341,88.5187,1,1192.4777,nc],]",0.00000,0.02606,0.00000,0.00000,0.00000,0.00000,0.07819,0.05212,0.02606,0.00000,0.00000,0.00000,
2,0,0,0,0,[0],0.00000,0.03197,0.03197,0.41560,0.57545,0.00000,0.00000,0.00000,0.00000,0.00000,0.09591,0.09591,
3,2,0,0,2,"[[1029.0376,119.9632,6,271.2774,nc],[1059.6814,101.1285,7,213.1981,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07502,0.00000,
4,0,0,0,0,[0],0.00000,1.91083,7.64331,14.96815,29.61783,32.16561,29.93631,24.84076,9.55414,0.00000,0.00000,0.00000,
5,1,0,0,1,"[[999.307,120.9758,9,447.4721,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
6,0,0,0,0,[0],27.82123,26.92737,26.75978,28.43575,30.81006,30.36313,28.93855,29.58101,32.45810,30.41899,29.63687,26.34078,
7,2,0,0,2,"[[916.5199,147.3193,5,147.3133,nc],[914.3407,147.6955,6,239.8833,nc],]",0.00000,0.09046,0.00000,0.00000,0.13569,0.45228,0.58797,0.49751,0.13569,0.04523,0.00000,0.04523,
8,13,0,0,13,"[[1094.0099,160.8983,4,340.3252,nc],[1062.904,133.7523,4,266.6973,nc],[1049.163,145.5804,4,272.4902,nc],[1089.8037,145.88,5,296.2089,nc],[1093.6969,176.6444,5,226.615,nc],[1100.7085,174.7273,6,349.3617,nc],[1067.2615,166.1887,6,256.2283,nc],[1047.0749,156.9246,7,320.2659,nc],[1046.6943,136.2853,7,244.4738,nc],[1093.1068,138.1433,7,413.2447,nc],[1068.2743,133.0979,7,323.6186,nc],[1057.8312,135.0283,7,261.0901,nc],[1061.8432,148.9841,8,280.4102,nc],]",0.00000,0.00000,0.05713,0.00000,0.02856,0.05713,0.08569,0.00000,0.00000,0.00000,0.00000,0.00000,
9,10,0,0,10,"[[1577.0138,156.1488,3,309.2842,nc],[1564.6583,161.981,3,280.4409,nc],[1539.173,146.1891,4,249.6362,nc],[1570.4907,160.5424,4,369.197,nc],[1575.7342,168.6197,5,241.6721,nc],[1575.7766,145.7018,6,254.7517,nc],[1559.3995,168.0352,6,295.6041,nc],[1548.5162,152.017,8,263.6937,nc],[1561.8712,153.3637,8,227.8389,nc],[1560.4869,146.0382,9,283.3744,nc],]",0.05663,0.00000,0.00000,0.16988,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
10,14,0,0,14,"[[1178.5284,183.9371,3,374.9378,nc],[1161.3482,143.7034,3,327.4637,nc],[1161.2616,169.0777,3,368.9548,nc],[1154.2992,179.1204,3,259.5419,nc],[1158.0166,191.8364,3,406.5327,nc],[1150.4262,148.1088,4,451.7942,nc],[1186.7992,171.8287,4,286.2719,nc],[1128.8933,162.2302,5,417.8114,nc],[1134.2544,161.6703,5,198.3835,nc],[1167.9874,171.6999,5,350.4953,nc],[1169.6189,187.8567,5,142.349,nc],[1158.2181,152.8537,5,395.0851,nc],[1158.728,179.5885,8,249.02,nc],[1145.8312,187.9931,8,267.0053,nc],]",0.49563,0.58309,0.02915,0.02915,0.00000,0.02915,0.00000,0.05831,0.00000,0.00000,0.00000,0.00000,
11,0,0,0,0,[0],0.04385,0.02193,0.00000,0.08770,0.04385,0.00000,0.00000,0.00000,0.00000,0.00000,0.04385,0.00000,
12,15,0,0,15,"[[782.0338,180.7915,3,315.5224,nc],[798.968,212.9598,3,463.2886,nc],[810.4726,157.2636,4,266.4701,nc],[806.1631,188.3547,4,285.7968,nc],[774.2669,203.046,5,366.8077,nc],[787.1105,187.9872,5,217.6788,nc],[771.7829,186.7891,5,288.1333,nc],[801.6627,157.8067,6,304.3236,nc],[794.267,185.5601,6,267.2528,nc],[789.1769,211.8326,7,200.2333,nc],[777.7583,187.5548,7,237.4663,nc],[775.7306,179.3887,8,235.5459,nc],[804.141,201.4593,8,286.0592,nc],[813.5332,205.2333,9,236.0533,nc],[782.1681,171.9095,9,259.9549,nc],]",0.11608,0.02902,0.02902,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
13,2,0,0,2,"[[1025.1108,200.7836,6,271.3863,nc],[1052.2242,200.0568,6,259.6003,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
14,2,0,0,2,"[[894.5005,201.2243,7,267.108,nc],[902.5507,229.497,8,240.2824,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.32573,0.70575,1.08578,0.92291,0.43431,
15,1,0,1,0,"[[838.4149,229.0648,7,243.5899,organelle_far],]",0.00000,0.21067,2.87921,8.56742,22.05056,30.89888,35.25281,34.90169,35.39326,33.35674,27.94944,27.73876,
16,1,0,0,1,"[[984.8723,286.5713,6,426.7324,nc],]",21.99608,26.01766,23.71260,21.77538,21.82442,22.41295,21.94703,21.67729,18.68563,18.39137,19.54389,19.78911,
17,0,0,0,0,[0],2.28401,13.50546,24.32969,37.83515,48.56008,47.46773,45.38232,43.19762,43.39623,42.60179,39.62264,34.75670,
18,18,0,0,18,"[[1939.812,325.399,2,242.3106,nc],[1930.7961,294.2327,3,336.6045,nc],[1965.8099,286.3962,4,239.3434,nc],[1952.4482,273.0978,4,226.081,nc],[1919.7961,300.1832,4,308.9963,nc],[1924.3113,307.0214,5,149.1959,nc],[1969.2244,297.0385,5,266.0916,nc],[1969.1555,304.1839,6,286.3377,nc],[1931.4843,298.4093,6,294.707,nc],[1933.8752,329.4257,6,239.8507,nc],[1920.9962,304.6937,7,307.9783,nc],[1926.0746,272.3293,7,437.2201,nc],[1952.2598,334.3917,7,341.1722,nc],[1952.0977,279.8894,7,241.4877,nc],[1952.0631,289.6847,7,282.939,nc],[1926.4827,296.3815,8,258.9292,nc],[1918.1172,292.884,8,297.0004,nc],[1941.2447,331.0679,8,231.465,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05329,0.02665,0.02665,0.05329,
