Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12642,0.79014,1.04298,20.48040,
2,0,0,0,0,[0],0.08525,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08525,0.55413,1.02302,24.68031,
3,1,0,0,1,"[[995.2879,138.8022,2,271.4619,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07599,0.00000,0.00000,0.37994,0.68389,17.78116,
4,0,0,0,0,[0],0.00000,0.00000,0.07530,0.00000,0.00000,0.00000,0.00000,0.00000,0.11295,0.56476,1.35542,26.16717,
5,2,0,0,2,"[[572.0543,164.8047,2,249.4213,nc],[566.9488,161.2507,3,335.6465,nc],]",0.37559,0.00000,0.09390,0.00000,0.00000,0.09390,0.00000,0.00000,0.09390,1.12676,0.84507,25.53991,
6,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09239,0.52356,1.10872,23.89898,
7,21,0,0,21,"[[309.7022,212.2301,2,317.981,nc],[278.2882,191.4723,2,239.4731,nc],[318.4486,198.4819,2,393.3418,nc],[342.4571,207.4449,3,287.7361,nc],[326.1854,198.2838,3,269.2316,nc],[322.3454,230.2609,3,377.7101,nc],[286.5505,233.0983,3,461.4214,nc],[318.3954,229.998,4,352.2885,nc],[339.9425,228.5404,4,369.6969,nc],[338.7013,204.0969,4,300.5443,nc],[315.4736,230.0841,4,504.4499,nc],[341.9982,213.9748,4,364.0928,nc],[333.7079,233.0967,4,458.8662,nc],[335.6579,206.6146,5,280.6422,nc],[306.3104,237.0588,5,315.4808,nc],[324.9803,240.869,5,286.5921,nc],[322.4943,204.9245,6,247.6485,nc],[337.0358,193.0562,6,235.1486,nc],[320.5634,184.1738,6,284.5714,nc],[326.3871,188.9688,6,392.9786,nc],[329.0572,184.7506,6,342.636,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.01981,0.00000,0.43590,0.51516,21.26015,
8,2,0,0,2,"[[602.5804,202.0491,1,536.2255,nc],[622.3001,187.5329,1,257.0792,nc],]",0.03222,0.06443,0.00000,0.03222,0.00000,0.00000,0.00000,0.03222,0.03222,0.48325,0.96649,21.52062,
9,5,0,0,5,"[[1006.8932,232.0975,1,282.5667,nc],[1046.3939,207.3413,3,294.0009,nc],[1044.8475,229.7173,4,240.7014,nc],[1014.4573,232.3275,4,296.2226,nc],[1008.8368,207.0407,4,298.4697,nc],]",0.00000,0.04753,0.19011,0.61787,0.14259,0.00000,0.00000,0.00000,0.00000,0.33270,0.76046,23.95437,
10,2,0,0,2,"[[973.2992,203.1375,1,321.9625,nc],[988.0605,204.0394,2,250.7403,nc],]",0.24510,0.36765,0.49020,0.12255,0.00000,0.00000,0.00000,0.00000,0.12255,0.61275,1.71569,20.34314,
11,2,0,0,2,"[[378.7387,238.6944,2,257.2072,nc],[362.8222,233.8486,6,363.1722,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13228,0.13228,20.76720,
