Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
5,0,0,0,0,[0],20.26966,26.51685,30.24719,31.23596,33.84270,42.51685,47.55056,49.57303,49.16854,43.82022,37.79775,33.16854,
6,0,0,0,0,[0],2.07031,3.35938,5.23438,5.93750,5.39062,7.18750,4.53125,3.51562,3.00781,1.64062,0.89844,0.82031,
7,0,0,0,0,[0],0.00000,0.62057,0.70922,1.06383,0.53191,0.08865,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
8,2,0,0,2,"[[1666.1191,143.827,4,228.8038,nc],[1668.8526,131.432,7,244.0263,nc],]",0.00000,0.00000,0.00000,0.00000,0.03422,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
9,0,0,0,0,[0],26.17581,31.63494,35.38634,37.26204,41.09742,38.68981,33.84658,30.65510,27.77156,25.22396,20.18477,17.10526,
10,0,0,0,0,[0],26.83983,25.16234,26.29870,31.38528,35.11905,35.38961,32.08874,32.08874,32.19697,29.32900,26.73160,20.23810,
11,0,0,0,0,[0],39.91684,40.54054,40.36729,36.27859,35.82814,42.37699,47.05475,48.57935,50.48510,48.40610,42.27304,38.56549,
12,0,0,0,0,[0],40.74182,45.73598,51.22664,51.37266,50.14603,45.38551,44.59696,45.06425,46.20327,48.16005,47.40070,45.53154,
13,0,0,0,0,[0],0.00000,0.00000,0.02971,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
14,4,0,0,4,"[[1819.0293,206.8994,3,223.332,nc],[1785.2821,236.4489,4,414.7127,nc],[1788.7981,218.0519,6,275.4536,nc],[1803.7179,250.2828,7,250.0803,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
15,10,0,0,10,"[[382.2221,274.85,3,303.0284,nc],[364.23,236.4552,3,434.3697,nc],[342.1392,262.0027,4,356.9293,nc],[376.1852,215.0368,4,268.2503,nc],[367.8133,223.597,4,243.8191,nc],[335.9335,258.3109,5,266.048,nc],[367.673,215.1933,6,251.65,nc],[350.3005,230.1921,6,362.9733,nc],[371.8259,241.7272,7,299.8891,nc],[344.7761,237.7343,8,302.1776,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
16,15,0,0,15,"[[1463.7672,240.9131,3,351.838,nc],[1410.8697,237.9396,3,458.5732,nc],[1424.6354,224.9771,3,309.8387,nc],[1426.6395,263.8101,4,251.7075,nc],[1464.135,246.3023,4,337.3044,nc],[1424.1189,256.3022,4,248.6751,nc],[1459.816,224.5034,5,245.5973,nc],[1437.9589,226.4265,6,267.698,nc],[1454.348,229.8566,6,295.9307,nc],[1419.7809,218.6969,6,304.1602,nc],[1430.9988,233.2251,6,229.6619,nc],[1438.8419,237.9855,7,265.5307,nc],[1445.853,224.6693,7,272.3097,nc],[1441.949,220.6302,8,298.3493,nc],[1451.947,225.7533,8,323.6064,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.03002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
17,1,0,1,0,"[[1260.9887,234.5906,4,408.1054,organelle_far],]",52.72374,51.55642,50.97276,53.30739,54.47471,60.70039,50.77821,31.90661,7.39300,1.16732,0.00000,0.00000,
18,3,1,1,1,"[[1217.6647,267.7266,6,858.9109,nc],[1182.2419,280.6434,6,225.7375,organelle_far],[1221.443,274.5533,9,256.6899,organelle_near],]",35.98686,38.76674,42.60804,46.62623,48.85014,51.04877,53.17159,53.24741,52.05964,50.51807,46.75259,42.73439,
19,0,0,0,0,[0],1.48721,1.78465,1.42772,0.35693,0.17847,0.00000,0.00000,0.00000,0.00000,0.00000,0.05949,0.00000,
20,0,0,0,0,[0],0.20935,0.13957,0.13957,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
21,12,4,6,2,"[[212.6207,281.128,4,263.6303,organelle_far],[201.7278,257.3504,4,380.2797,organelle_far],[170.6118,280.221,4,239.3787,organelle_far],[195.5502,302.9733,5,267.126,organelle_far],[187.8606,283.4135,5,399.8394,organelle_near],[161.4144,285.314,6,387.7934,organelle_far],[206.8447,281.0667,6,251.5316,nc],[209.3535,290.8621,7,223.1511,nc],[163.1295,267.9033,8,240.0971,organelle_far],[175.3615,296.7858,8,250.3602,organelle_near],[187.7481,293.3095,9,272.5078,organelle_near],[180.5243,294.2536,10,246.7289,organelle_near],]",10.49042,10.58785,11.33485,15.16726,19.12959,21.30562,21.20818,20.88340,19.55180,16.17408,15.58948,13.64079,
22,0,0,0,0,[0],0.00000,0.35158,0.65294,0.00000,0.00000,0.00000,0.00000,0.10045,0.00000,0.00000,0.00000,0.00000,
23,0,0,0,0,[0],0.00000,0.00000,0.13066,0.39199,0.43554,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
24,23,0,0,23,"[[1550.5941,306.7184,2,359.2819,nc],[1518.745,295.6361,2,410.0177,nc],[1552.9566,293.0527,2,301.611,nc],[1520.9682,302.6743,2,297.0163,nc],[1538.2481,289.8641,3,388.852,nc],[1560.6976,311.2582,3,268.1404,nc],[1546.4634,284.9703,3,369.4764,nc],[1530.9328,270.0616,3,267.8396,nc],[1558.7155,288.0378,4,449.17,nc],[1539.0258,322.8061,4,343.6689,nc],[1528.0462,317.0462,4,388.7862,nc],[1517.8626,284.9481,5,665.7205,nc],[1544.966,273.8763,5,392.5299,nc],[1532.3249,283.2197,5,252.2935,nc],[1556.2128,307.8718,6,259.121,nc],[1554.836,292.3106,6,443.1003,nc],[1542.6459,309.0912,6,282.6118,nc],[1561.8863,307.8225,6,280.0197,nc],[1547.6614,269.2569,7,439.5928,nc],[1518.3204,276.111,7,286.1429,nc],[1514.6164,300.4769,8,223.5341,nc],[1548.3172,313.363,8,429.2233,nc],[1549.675,286.159,8,243.8099,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
25,0,0,0,0,[0],0.00000,0.09017,0.04509,0.04509,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
26,0,0,0,0,[0],27.33668,29.64824,30.50251,33.66834,33.96985,35.87940,36.38191,35.62814,33.96985,32.66332,26.73367,20.90452,
27,3,1,2,0,"[[268.316,309.415,7,229.1659,organelle_far],[256.9558,324.6781,8,243.5134,organelle_near],[262.884,317.924,9,263.0467,organelle_far],]",38.12523,39.94072,37.71767,37.53242,37.90293,36.42090,33.53094,29.08485,26.56539,26.52834,26.89885,23.63838,
28,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
29,0,0,0,0,[0],0.00000,0.05426,0.00000,0.00000,0.05426,0.16278,0.48833,0.00000,0.00000,0.00000,0.00000,0.00000,
30,0,0,0,0,[0],0.07666,0.00000,0.00000,0.15332,0.00000,0.00000,0.00000,0.00000,0.15332,0.07666,0.00000,0.03833,
31,3,0,0,3,"[[1262.3163,355.3079,3,261.3534,nc],[1281.2427,341.5381,5,247.3623,nc],[1252.2197,339.821,6,737.9327,nc],]",0.02621,0.02621,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
32,0,0,0,0,[0],44.65783,46.49716,48.79632,48.17420,46.38896,43.95456,41.79064,41.89884,42.03408,41.49310,42.30457,42.14228,
33,6,0,0,6,"[[367.8836,331.976,2,239.628,nc],[396.2318,347.9752,3,248.9317,nc],[399.0833,338.3551,3,240.9328,nc],[378.714,333.8057,4,284.4229,nc],[367.4141,323.2814,6,232.3595,nc],[390.0676,326.3446,8,227.4624,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04817,0.00000,
34,0,0,0,0,[0],0.00000,0.12492,0.00000,0.00000,0.00000,0.00000,0.06246,0.00000,0.00000,0.00000,0.00000,0.00000,
35,2,1,1,0,"[[961.8418,379.3198,5,539.8312,organelle_near],[940.2349,324.9029,6,228.3985,organelle_far],]",39.03496,40.27738,43.94684,43.25339,42.64663,42.76221,43.97573,44.81364,46.95175,47.50072,47.09621,43.97573,
36,0,0,0,0,[0],0.47071,0.15690,0.26151,0.26151,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
37,1,0,1,0,"[[1440.7877,387.2848,2,323.074,organelle_far],]",35.35388,36.13275,37.04707,36.23434,31.39180,28.95361,27.29428,26.14291,24.78835,22.01151,21.02946,17.43989,
38,4,0,0,4,"[[1542.0381,396.9994,6,275.3029,nc],[1574.1118,361.6636,6,857.8055,nc],[1569.093,370.8482,7,360.7307,nc],[1562.842,348.1471,10,257.7647,nc],]",0.00000,0.00000,0.00000,0.16959,0.28265,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
39,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
40,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,2.70701,12.26115,21.65605,30.41401,31.36943,30.73248,30.57325,
41,0,0,0,0,[0],31.09061,38.95822,45.74064,47.96527,55.77862,53.82528,52.46880,50.46120,48.45361,49.75583,51.54639,52.30602,
42,0,0,0,0,[0],0.00000,0.00000,0.63492,2.22222,2.53968,4.44444,6.66667,10.79365,14.28571,20.95238,17.77778,9.52381,
43,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08306,
44,1,0,1,0,"[[1386.1307,366.2024,1,393.0568,organelle_far],]",38.35957,40.18227,40.54129,39.43662,38.93952,40.34797,38.24910,37.39299,35.51505,32.69815,28.63850,24.44076,
45,0,0,0,0,[0],0.00000,0.14940,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
46,6,3,3,0,"[[129.8066,393.7316,1,233.3215,organelle_far],[153.05,391.7028,2,352.8541,organelle_near],[148.8355,404.9329,3,268.8976,organelle_near],[135.991,379.1593,4,276.149,organelle_far],[138.5881,402.0918,4,246.1209,organelle_near],[170.8398,389.5173,4,280.4891,organelle_far],]",18.22785,19.42134,20.90416,19.89150,20.61483,20.21700,18.84268,15.66004,15.40687,14.14105,11.10307,8.96926,
47,2,0,0,2,"[[1327.9286,404.8231,4,260.9214,nc],[1344.1791,408.2916,5,232.4269,nc],]",0.00000,0.00000,0.03792,0.15169,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
48,1,1,0,0,"[[1493.2063,421.4078,2,302.4159,organelle_near],]",27.10756,27.94331,29.65116,30.55959,28.59738,27.57994,27.28924,24.27326,22.96512,20.53052,18.56831,19.25872,
49,4,2,2,0,"[[404.9586,447.5846,2,262.0776,organelle_near],[393.1436,449.1344,3,295.4578,organelle_near],[406.9999,399.0086,6,617.7192,organelle_far],[422.4025,429.9462,8,253.4,organelle_far],]",19.15097,21.83211,23.81104,24.25790,25.50271,24.00255,21.38525,19.56591,17.20396,14.68241,12.57581,12.76732,
50,0,0,0,0,[0],44.10920,48.23994,51.14943,50.14368,48.06034,44.89943,45.97701,45.79741,47.37787,46.33621,39.94253,38.11063,
51,5,0,5,0,"[[930.6326,434.4433,2,234.081,organelle_far],[936.7946,400.4218,5,300.1025,organelle_far],[918.7865,425.6167,6,219.6794,organelle_far],[944.6,431.0159,6,250.2417,organelle_far],[925.7518,440.0972,6,230.5962,organelle_far],]",26.70487,36.16046,43.15186,45.84527,49.05444,52.37822,53.75358,53.52436,51.17479,44.92837,41.71920,37.36390,
52,0,0,0,0,[0],0.03414,0.06828,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
53,0,0,0,0,[0],20.60185,17.92328,17.36111,18.91534,20.80026,20.86640,19.94048,19.47751,17.62566,15.01323,12.99603,10.54894,
