Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,12,0,0,12,"[[637.7998,101.7743,6,293.2298,nc],[618.1034,110.8348,6,373.955,nc],[611.0277,119.45,6,441.065,nc],[598.1754,89.3265,6,318.9667,nc],[597.8673,95.2855,7,312.332,nc],[627.88,92.7031,7,324.3507,nc],[637.1391,83.2471,7,313.3585,nc],[643.1158,84.1345,7,303.2314,nc],[617.5484,127.7013,8,309.4345,nc],[613.7652,95.5726,8,236.6915,nc],[601.0515,105.955,8,458.5799,nc],[615.6907,77.8708,8,278.041,nc],]",0.06207,0.03104,0.06207,0.00000,0.00000,0.00000,0.31037,0.15518,0.09311,0.03104,0.03104,0.03104,
3,4,0,0,4,"[[1019.8772,116.2099,2,253.8795,nc],[1027.8764,118.6879,4,255.4478,nc],[1040.5946,108.0479,4,298.1041,nc],[1036.1599,129.0342,4,252.6696,nc],]",0.06299,0.00000,0.00000,0.00000,0.03150,0.18898,0.15748,0.03150,0.00000,0.00000,0.00000,0.03150,
4,10,0,0,10,"[[561.4838,119.7119,2,305.841,nc],[564.1636,128.5864,2,272.6347,nc],[561.1987,128.7512,2,279.9118,nc],[561.6905,108.6992,2,495.0632,nc],[549.7917,106.949,3,371.1895,nc],[579.3188,123.8119,3,248.368,nc],[539.7316,114.1758,4,265.1292,nc],[552.3194,96.3027,5,269.276,nc],[564.9573,115.4909,6,304.3566,nc],[560.6271,92.8426,8,262.1752,nc],]",0.17065,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
5,12,2,7,3,"[[1344.7634,197.8832,2,263.5882,nc],[1318.2761,181.9795,2,262.2106,organelle_far],[1331.1784,207.6738,2,338.8838,organelle_far],[1345.72,154.649,3,372.2457,organelle_far],[1336.7208,212.6579,3,286.4338,nc],[1335.8241,177.1863,3,302.2747,organelle_far],[1343.7605,157.0205,4,297.9102,organelle_far],[1350.1155,142.0771,4,389.3035,organelle_far],[1323.8878,174.6635,5,239.0431,nc],[1330.4761,160.7359,6,232.0157,organelle_near],[1353.0287,144.8962,7,221.5993,organelle_far],[1350.3224,161.9142,7,223.6477,organelle_near],]",25.55529,20.08598,19.56054,20.49200,22.25937,22.37879,23.19083,24.33723,24.62384,21.59064,19.87103,15.23764,
6,8,0,0,8,"[[1404.5748,164.3304,2,331.395,nc],[1407.806,155.9283,3,255.0007,nc],[1389.5048,143.2381,3,352.7595,nc],[1393.1425,163.4225,5,306.22,nc],[1401.5386,152.5851,5,271.6859,nc],[1399.9465,145.6843,5,382.8766,nc],[1404.6179,144.4299,5,394.2061,nc],[1395.1514,171.9264,6,557.5078,nc],]",0.00000,0.00000,0.07215,0.00000,0.21645,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
7,2,0,0,2,"[[534.9064,193.3008,5,281.2917,nc],[539.6614,205.6134,6,261.6558,nc],]",0.00000,0.00000,0.02778,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05556,0.05556,0.02778,
8,31,0,0,31,"[[1397.9267,231.4366,3,375.1911,nc],[1401.622,239.4741,3,323.0348,nc],[1398.1405,206.8109,3,401.3432,nc],[1407.5102,207.6647,4,221.285,nc],[1393.3836,226.4692,4,514.3418,nc],[1371.1862,203.9856,4,327.0421,nc],[1370.2253,209.6943,4,472.9551,nc],[1390.2942,218.1218,4,535.4766,nc],[1413.9738,215.28,4,470.3663,nc],[1390.0373,235.1304,4,273.5215,nc],[1396.2299,201.1782,4,217.3534,nc],[1393.4676,204.3547,4,334.8464,nc],[1392.4228,211.5709,4,375.5411,nc],[1371.2079,225.6556,5,262.2802,nc],[1418.9805,221.9657,5,553.712,nc],[1392.2971,240.0967,5,341.1408,nc],[1400.9795,203.661,5,390.395,nc],[1414.4729,227.9684,6,378.0679,nc],[1399.1183,199.6149,6,330.9829,nc],[1397.6246,186.7566,6,530.3277,nc],[1404.2107,231.1029,7,391.6435,nc],[1389.4301,186.6802,7,437.3297,nc],[1419.6292,213.9152,7,649.9436,nc],[1372.6296,208.3003,7,422.4805,nc],[1406.1218,219.6418,8,364.1288,nc],[1400.3874,221.1201,8,406.7967,nc],[1372.7504,215.8031,9,521.9791,nc],[1401.4858,189.7669,9,371.4987,nc],[1412.9199,193.9952,9,276.4907,nc],[1387.4591,191.5026,9,296.8048,nc],[1379.1677,214.693,9,357.9674,nc],]",0.17307,0.00000,0.03461,0.10384,0.06923,0.00000,0.00000,0.17307,0.20768,0.24230,0.00000,0.00000,
9,2,0,0,2,"[[1531.8921,239.5392,2,322.1277,nc],[1492.8453,236.8548,4,305.1447,nc],]",33.13690,33.83197,39.09036,39.04503,38.68238,37.23179,36.24962,34.49683,33.06135,32.72892,33.63554,28.28649,
10,17,0,0,17,"[[1420.8547,267.0482,2,447.4745,nc],[1422.6764,285.0604,2,419.4079,nc],[1425.8365,256.2532,3,396.641,nc],[1445.5882,270.7236,3,329.6965,nc],[1450.8405,297.4343,3,337.7507,nc],[1444.2418,285.314,3,340.8791,nc],[1424.6566,301.0874,4,419.3307,nc],[1430.2475,255.7868,4,332.8913,nc],[1417.0156,255.1923,4,467.8823,nc],[1427.9036,283.8663,4,367.3166,nc],[1423.3952,278.2598,5,329.5419,nc],[1425.1049,259.6983,5,254.8201,nc],[1409.9702,248.737,5,455.4689,nc],[1448.1864,250.0113,6,281.6085,nc],[1431.7544,302.442,6,387.3999,nc],[1443.2071,262.0288,7,333.6138,nc],[1441.8703,252.6157,7,304.9708,nc],]",0.22523,0.02503,0.05005,0.00000,0.00000,0.00000,0.00000,0.05005,0.00000,0.02503,0.05005,0.10010,
12,14,0,0,14,"[[1298.7579,265.4579,2,272.9893,nc],[1324.7916,263.0871,2,306.1053,nc],[1342.8381,295.6966,3,277.684,nc],[1350.48,280.5251,3,323.5552,nc],[1342.1391,283.5025,3,347.4267,nc],[1339.8685,253.1933,3,382.6862,nc],[1329.1228,289.5425,3,404.064,nc],[1353.4525,279.8568,4,304.4094,nc],[1359.4404,271.8305,4,322.9253,nc],[1361.1437,265.3838,4,301.0418,nc],[1347.5441,267.672,5,245.1646,nc],[1328.1563,281.6618,6,230.6683,nc],[1331.958,241.0789,6,306.1997,nc],[1339.8099,247.2615,10,254.9572,nc],]",0.00000,0.05086,0.02543,0.00000,0.07630,0.05086,0.05086,0.12716,0.10173,0.00000,0.00000,0.00000,
