Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,0,0,0,0,[0],0.00000,0.00000,0.11111,0.00000,0.14815,0.00000,0.11111,0.22222,0.00000,0.03704,0.00000,0.00000,
3,1,0,0,1,"[[1645.4539,100.0445,1,437.6922,nc],]",0.00000,0.00000,0.02475,0.02475,0.04950,0.00000,0.00000,0.00000,0.00000,0.04950,0.09901,0.34653,
4,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.08529,0.00000,0.00000,0.00000,0.00000,0.00000,0.04264,
5,1,0,0,1,"[[1401.4839,304.2054,3,336.1606,nc],]",0.00000,0.05148,0.02574,0.00000,0.07722,0.00000,0.02574,0.00000,0.00000,0.00000,0.00000,0.00000,
6,0,0,0,0,[0],0.07981,0.19952,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
7,0,0,0,0,[0],25.53033,28.43320,30.74060,33.68068,34.09006,35.13212,36.54633,36.80685,36.91850,37.03015,37.66282,36.76963,
8,2,0,2,0,"[[1082.3538,325.1298,6,284.4333,organelle_far],[1075.9339,339.2729,8,341.8741,organelle_far],]",29.78914,34.90354,36.29430,39.21041,44.72858,45.67070,44.72858,44.54913,44.01077,41.49843,40.51144,40.10767,
9,0,0,0,0,[0],0.04093,0.04093,0.08187,0.20467,0.04093,0.00000,0.12280,0.04093,0.12280,0.00000,0.00000,0.04093,
10,0,0,0,0,[0],38.27855,39.07872,40.87370,40.91696,40.28979,41.15484,42.90657,44.07439,45.32872,46.23702,44.37716,41.45761,
11,0,0,0,0,[0],0.02878,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
