Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
2,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.72483,20.13423,21.47651,17.44966,8.05369,3.35570,
3,1,0,0,1,"[[1759.7499,132.3709,9,308.0604,nc],]",0.42899,0.00000,0.00000,0.00000,0.11289,1.01603,1.89659,2.23527,1.85143,0.76767,0.72251,0.69993,
4,0,0,0,0,[0],0.07289,0.14577,0.23688,1.84038,18.07580,33.47303,30.59402,29.24563,31.04956,31.55977,36.53426,39.48615,
5,7,0,0,7,"[[1523.375,159.842,6,436.496,nc],[1495.8586,212.4476,7,266.9041,nc],[1506.0091,170.7497,8,361.3736,nc],[1528.3981,189.6522,8,314.3182,nc],[1503.8153,196.2115,8,271.4395,nc],[1529.8182,175.1214,8,322.2678,nc],[1523.1717,174.1006,9,276.4738,nc],]",0.01528,0.00000,0.00000,0.01528,0.00000,0.13749,0.18332,0.16804,0.13749,0.27498,0.07638,0.06111,
6,1,0,0,1,"[[1640.1925,196.0888,8,301.6754,nc],]",0.08632,0.00000,0.00000,0.00000,0.00000,0.12948,0.90634,1.42426,1.72637,1.12214,0.12948,0.08632,
7,2,0,0,2,"[[1571.3936,224.2821,5,278.5309,nc],[1593.4416,234.4446,7,242.7085,nc],]",0.05375,0.00000,0.02687,0.00000,0.00000,0.00000,0.26874,0.24187,0.08062,0.00000,0.18812,0.02687,
8,3,0,0,3,"[[658.6555,326.1248,7,306.2796,nc],[643.8753,296.8907,9,272.4516,nc],[644.01,318.7928,9,381.5354,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.05422,0.10843,0.00000,0.08132,0.00000,0.02711,0.05422,
9,8,0,3,5,"[[698.8163,322.1963,5,389.5579,nc],[724.1337,307.8299,6,331.5019,nc],[713.9846,344.2738,7,217.9432,nc],[741.9351,320.0491,7,387.5458,organelle_far],[683.8928,323.998,7,327.1933,nc],[741.1365,348.1437,8,332.7818,nc],[730.1522,322.2649,9,261.1601,organelle_far],[734.4504,283.0187,9,373.2375,organelle_far],]",0.07755,0.05816,0.07755,0.73672,14.07522,20.25979,17.00271,20.41489,22.74137,24.56378,26.52191,23.53625,
10,1,0,0,1,"[[584.1949,368.7145,8,373.664,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.11448,0.05724,0.02862,0.11448,0.00000,0.02862,0.00000,
11,2,0,0,2,"[[663.4157,361.2256,6,319.4927,nc],[658.3192,359.7966,6,317.3754,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.39660,1.13314,0.11331,0.00000,0.00000,0.16997,
