Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
0,0,0,0,0,[0],1.61336,6.12507,23.95774,42.33295,39.79155,31.72473,30.28270,32.99543,35.20845,37.39292,40.10565,44.46031,
1,0,0,0,0,[0],0.35971,6.11511,17.62590,28.05755,19.06475,14.02878,9.71223,11.15108,8.63309,6.47482,3.95683,0.71942,
2,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
3,0,0,0,0,[0],0.00000,0.00000,0.00000,0.13934,0.02322,0.04645,0.06967,0.00000,0.00000,0.00000,0.02322,0.00000,
4,0,0,0,0,[0],3.66071,12.18750,27.76786,37.27679,39.33036,41.11607,38.66071,33.92857,30.98214,34.15179,35.22321,39.37500,
5,1,0,0,1,"[[93.9778,342.7944,4,265.992,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08332,0.02083,0.02083,0.06249,0.00000,0.00000,
6,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.03061,0.00000,0.00000,0.00000,0.00000,0.00000,0.03061,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.02581,0.07744,0.02581,0.05163,0.02581,0.02581,0.00000,0.00000,0.00000,
8,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.15480,0.46440,0.15480,0.10320,0.46440,0.20640,0.15480,0.00000,
9,1,0,1,0,"[[222.8169,382.8889,6,338.3941,organelle_far],]",0.96589,3.77302,13.16028,16.66164,13.25083,15.81648,18.41232,20.49502,18.89526,16.57108,13.40175,15.90703,
10,5,0,0,5,"[[1289.1311,401.0606,4,363.5506,nc],[1258.0289,402.7115,4,393.4412,nc],[1231.8389,413.8467,7,316.6809,nc],[1266.3411,432.0657,7,305.0508,nc],[1287.5783,397.0196,10,300.3504,nc],]",0.00000,0.00000,0.04631,0.13892,0.18523,0.11577,0.16207,0.23154,0.02315,0.02315,0.00000,0.00000,
11,0,0,0,0,[0],8.43329,23.19616,35.22790,43.88264,38.97398,36.55656,34.93264,32.69976,33.77007,35.78151,37.42388,31.31574,
12,3,0,0,3,"[[807.356,437.9192,2,245.5491,nc],[790.8595,470.1525,3,467.6773,nc],[810.6602,445.2708,7,284.8224,nc],]",0.00000,0.05613,0.00000,0.00000,0.19646,0.19646,0.02807,0.00000,0.00000,0.00000,0.00000,0.00000,
13,6,0,4,2,"[[1808.0781,452.4685,4,232.6679,nc],[1801.8395,444.5547,5,529.4038,organelle_far],[1784.1771,496.1397,8,271.3919,organelle_far],[1810.1205,477.9467,8,327.668,nc],[1829.0763,487.4556,9,351.5435,organelle_far],[1822.9008,471.6863,10,327.4573,organelle_far],]",37.30799,40.74501,39.65054,40.89862,42.26190,41.22504,36.46313,35.92550,34.37020,35.40707,45.19969,54.35868,
14,2,0,0,2,"[[1299.6447,441.8337,5,425.767,nc],[1280.0293,453.89,8,267.7341,nc],]",22.72124,36.94690,42.74336,33.71681,26.54867,27.94248,22.85398,18.67257,16.10619,15.79646,19.11504,26.19469,
15,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.14517,0.24195,0.09678,0.04839,0.07259,0.14517,0.00000,0.00000,
16,0,0,0,0,[0],0.00000,0.00000,0.00000,0.08403,0.39216,0.36415,0.39216,0.00000,0.00000,0.02801,0.11204,0.00000,
17,2,0,0,2,"[[1468.0937,488.0134,8,404.6525,nc],[1487.5437,491.1618,9,312.3903,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.21209,0.21209,0.00000,0.00000,0.00000,
