Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Spots Coordinates Intensity and Colocalization (Far Near or Not Colocolized),Organelle Signal Size Cross Section 1,Organelle Signal Size Cross Section 2,Organelle Signal Size Cross Section 3,Organelle Signal Size Cross Section 4,Organelle Signal Size Cross Section 5,Organelle Signal Size Cross Section 6,Organelle Signal Size Cross Section 7,Organelle Signal Size Cross Section 8,Organelle Signal Size Cross Section 9,Organelle Signal Size Cross Section 10,Organelle Signal Size Cross Section 11,Organelle Signal Size Cross Section 12,
1,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.04209,0.00000,0.02104,
2,0,0,0,0,[0],0.17862,0.08931,0.53587,0.50610,0.00000,0.05954,0.08931,0.00000,0.00000,0.00000,0.00000,0.00000,
3,0,0,0,0,[0],0.00000,0.00000,0.29044,0.34853,0.20331,0.11618,0.02904,0.00000,0.00000,0.00000,0.02904,0.00000,
4,0,0,0,0,[0],0.00000,0.04336,0.10839,0.00000,0.04336,0.04336,0.04336,0.00000,0.00000,0.00000,0.02168,0.00000,
5,0,0,0,0,[0],0.02982,0.02982,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02982,0.00000,0.02982,
7,0,0,0,0,[0],0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.02200,
8,29,0,0,29,"[[1006.9661,301.5404,3,274.658,nc],[1017.4889,298.8131,3,176.3178,nc],[984.1124,304.7934,3,341.2611,nc],[1010.6889,334.508,3,252.5311,nc],[999.2309,282.214,4,404.8912,nc],[1015.4302,309.2394,4,299.7518,nc],[1030.6892,340.8973,4,279.3156,nc],[1001.4909,290.4388,4,138.6095,nc],[979.7699,297.4724,4,154.5332,nc],[1041.0773,336.0277,4,359.4359,nc],[981.6382,313.1885,4,522.5875,nc],[1010.5445,324.1776,4,336.4043,nc],[1021.6619,342.1851,5,347.2115,nc],[1039.9002,337.8582,5,303.9719,nc],[995.9439,313.9448,5,362.6256,nc],[986.7887,284.2748,5,244.3699,nc],[1003.7466,338.806,5,125.623,nc],[1004.4656,312.7583,6,276.8099,nc],[1026.8808,348.8092,6,286.1069,nc],[1031.2676,345.9713,6,337.0491,nc],[1030.1637,314.6227,6,266.117,nc],[994.3962,282.668,6,271.2131,nc],[1020.4666,294.0024,6,658.4466,nc],[1040.0096,316.6294,6,524.4703,nc],[1011.4379,318.788,7,424.8819,nc],[1015.2997,318.2678,7,422.1238,nc],[1010.3002,276.3172,7,244.5946,nc],[1002.8208,292.4649,7,241.4577,nc],[1018.1801,301.7284,7,290.0652,nc],]",0.01641,0.00000,0.00000,0.00000,0.04922,0.01641,0.04922,0.01641,0.00000,0.03281,0.00000,0.00000,
9,1,0,0,1,"[[1115.306,293.4903,4,233.3294,nc],]",0.11186,0.05593,0.00000,0.00000,0.16779,0.00000,0.05593,0.05593,0.00000,0.05593,0.11186,0.00000,
10,47,0,0,47,"[[1084.2413,361.3058,1,424.9469,nc],[1054.1236,364.7256,3,214.266,nc],[1066.6229,335.5726,3,595.1087,nc],[1058.4958,375.443,3,334.9493,nc],[1081.3998,396.7961,4,356.2794,nc],[1091.3172,365.0917,4,512.9449,nc],[1071.7186,330.5874,4,870.3379,nc],[1076.3454,363.4073,4,367.4481,nc],[1081.9002,339.5716,4,375.043,nc],[1101.6796,388.9683,4,298.2859,nc],[1108.0112,374.9214,4,402.8971,nc],[1082.1088,388.4342,4,148.8679,nc],[1054.5819,358.0956,4,287.7938,nc],[1077.7179,364.1053,4,348.6015,nc],[1110.5414,359.8225,4,207.2498,nc],[1060.2785,355.4853,5,142.542,nc],[1073.2815,391.0185,5,191.5453,nc],[1087.1778,379.0328,5,748.3076,nc],[1109.9903,349.9609,5,570.2537,nc],[1100.0191,379.8286,5,453.4867,nc],[1055.1833,344.1891,6,340.8286,nc],[1096.4464,393.9605,6,408.0179,nc],[1083.3866,369.6647,6,470.9644,nc],[1088.8293,345.0294,6,414.3568,nc],[1087.7712,394.2529,6,367.7582,nc],[1055.2672,372.3006,6,493.2246,nc],[1091.8645,382.7116,7,654.0299,nc],[1080.729,361.9725,7,336.0914,nc],[1106.8586,381.8986,7,328.3053,nc],[1081.9659,353.1581,7,345.085,nc],[1105.6848,390.3881,7,247.4947,nc],[1061.6009,372.623,7,763.7969,nc],[1077.3052,390.1374,8,279.6227,nc],[1093.4942,342.6276,8,469.8037,nc],[1096.3009,363.7809,8,393.3259,nc],[1103.4117,377.7893,8,319.6269,nc],[1096.7876,336.7645,8,575.7614,nc],[1097.611,374.615,9,408.139,nc],[1099.9559,365.9411,9,418.2579,nc],[1103.0349,358.0857,9,420.9069,nc],[1072.0754,355.7091,9,353.5449,nc],[1064.4486,341.1591,9,355.4104,nc],[1102.1212,346.9178,9,602.367,nc],[1092.781,333.9581,9,594.94,nc],[1087.2917,356.0555,9,490.7352,nc],[1082.507,384.8869,9,646.1286,nc],[1070.9671,349.5229,9,370.2181,nc],]",0.00000,0.00000,0.00000,0.00000,0.09246,0.20804,0.39297,0.34674,0.23116,0.06935,0.00000,0.00000,
11,13,0,0,13,"[[1146.6093,369.2598,3,697.825,nc],[1144.5231,362.6719,3,513.2742,nc],[1150.2878,379.6428,3,388.796,nc],[1153.0099,377.5128,4,344.7327,nc],[1131.2663,372.4847,4,213.6913,nc],[1145.1043,356.6277,5,415.8625,nc],[1148.6643,359.515,5,247.5515,nc],[1118.7634,373.3593,5,338.2193,nc],[1133.4302,356.555,6,245.3306,nc],[1120.6854,367.0577,7,486.4012,nc],[1130.5201,375.1062,7,247.1598,nc],[1144.2668,370.7055,8,276.5065,nc],[1137.1051,378.8268,8,230.8898,nc],]",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
